stance,scaled_followers,scaled_friends,influence,weighted_influence,cluster,clustering_coeff,degree_centrality,closeness_centrality,cycle,triangles,avg_neighbor,majority_neighbor,repliers_cluster_coeff,repliers_closeness,repliers_clique_num,repliers_pagerank,repliers_degree_centrality,connected_to_Trump,connected_to_TheDailyShow
Strong Agreement,0.034208770922854966,0.13366108081803774,1.0293129200896192,0.03521152989128072,4.0,0.002476530250609549,0.010879705692949158,0.3532334302021145,1.0,188848.0,0.8507462686567164,2.0,0.22885572139303484,0.26847735722454563,10.0,0.0043076775881241616,0.07436182019977802,1.0,0.0
Strong Agreement,0.04968431503343003,0.12419050946433252,1.6089621219732744,0.07994018094497624,4.0,0.0012346069223100804,0.018064716189442543,0.4046541312823934,1.0,259561.0,0.9222222222222224,2.0,0.2184769038701623,0.2910533592335346,11.0,0.006196101964309982,0.09988901220865704,1.0,0.0
Neutral,0.006071700044987046,0.02642776037832375,0.9239848914069876,0.005610159106723158,1.0,0.004361422927526336,0.0024463921222121305,0.3756768809731752,1.0,16811.0,0.8695652173913043,2.0,0.2766798418972332,0.2620992759838734,6.0,0.0017342690372067753,0.025527192008879027,0.0,0.0
Strong Agreement,0.002457223523571661,0.013238835581398252,0.7464655984919887,0.001834232828151513,1.0,0.0016657753076177895,0.001534611118794934,0.3753316609687096,1.0,2526.0,0.5,2.0,0.5333333333333333,0.2552767351773517,4.0,0.0006521089758455222,0.006659267480577137,1.0,0.0
Weak Disagreement,0.01687789894978515,0.06329935240757148,1.0723437808003151,0.018098909971778283,4.0,0.0028601835578070073,0.006293491293152129,0.3538549454821264,1.0,72977.0,0.8620689655172413,2.0,0.4236453201970443,0.25997623324762703,11.0,0.0019419638428761453,0.032186459489456164,1.0,0.0
Weak Agreement,0.0005832803313528691,0.0004991078447275496,4.7,0.0027414175573584852,3.0,0.0,0.00026868908796352174,0.321306901094644,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Neutral,0.02664163939003769,0.06849007399273799,1.564401530333394,0.0416782214323654,4.0,0.0025226179669876627,0.008969810798834679,0.3936589051127143,1.0,130751.0,0.6808510638297872,2.0,0.3311748381128585,0.2942064372918979,10.0,0.0033511115292030485,0.05216426193118757,1.0,0.0
Neutral,0.0005212292322727766,0.0009233495127459666,2.27027027027027,0.0011833312300246822,3.0,0.0,0.00021671316602959456,0.319933582201643,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Weak Agreement,0.00669841614569598,0.01275220543278889,2.1125244618395302,0.014150567963363619,1.0,0.0014543053632257651,0.0028234377931904498,0.3800260414647518,1.0,7467.0,0.8571428571428571,2.0,0.6190476190476191,0.2590225420031383,5.0,0.0006872177630878245,0.00776914539400666,1.0,0.0
Neutral,8.997409366613406e-05,0.0013600688768825725,0.26605504587155965,2.39380616175953e-05,2.0,0.0,0.0001259755396025692,0.3156428367034732,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Neutral,0.0035245024277492515,0.015671986324445056,0.9044585987261148,0.003187766527008877,2.0,0.0018640630760940469,0.001479992353372841,0.3416048859294755,1.0,2629.0,1.0,2.0,0.2222222222222222,0.23427188105526045,4.0,0.0008580337201267664,0.009988901220865706,1.0,0.0
Neutral,0.007982873896653895,0.009033851989568648,3.553867403314917,0.02837007532609181,3.0,6.668889629876625e-05,0.0026428434881657875,0.3299257613749041,1.0,300.0,0.0,0.0,0.0,0.15100415943125642,2.0,0.0005868105052086063,0.0011098779134295226,0.0,0.0
Strong Agreement,0.007886694693079751,0.04160063885804125,0.7624475104979004,0.006013190734795659,1.0,0.0023640963093345987,0.003455958334691461,0.3871464948801567,1.0,18187.0,0.4375,-999.0,0.475,0.2656491533109688,7.0,0.0012530694920422885,0.01775804661487236,1.0,0.0
