followers_count,friends_count,listed_count,favorites_count,statuses_count,stance,count,word_count,char_count,avg_word,hastags,mentions,number_digit,uppercase,lowercase,publishing_days,membership_years,cnn,colton,pubd_5,pubd_6,pubd_7,pubd_38,pubd_39,memb_1,memb_2,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anger,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,bio,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time.1,work,informal,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
11102,10796,3,14237,18143,Strong Agreement,3,18,95,4.333333333333333,1,0,0,0,13,13,2,0,0,0,0,0,0,0,0,1,1,92.84,50.0,1.0,25.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16018,9948,42,154509,189181,Strong Agreement,4,43,227,4.3023255813953485,0,0,0,4,32,14,3,0,0,0,0,0,0,0,0,0,17,97.02,88.03,1.0,25.77,8.5,11.76,76.47,41.18,5.88,0.0,0.0,0.0,0.0,0.0,5.88,11.76,11.76,11.76,0.0,0.0,0.0,23.53,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,17.65,5.88,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,11.76,11.76,0.0,5.88,0.0,0.0,5.88,0.0,0.0,17.65,11.76,0.0,0.0,0.0,0.0,5.88
1957,2118,1,15054,19454,Neutral,3,29,224,6.758620689655173,3,0,0,1,24,13,3,0,0,0,0,0,0,0,0,0,43,35.82,99.0,1.0,1.0,10.75,18.6,81.4,48.84,13.95,11.63,0.0,4.65,2.33,4.65,2.33,2.33,11.63,11.63,6.98,6.98,0.0,20.93,4.65,0.0,4.65,0.0,0.0,6.98,0.0,6.98,2.33,20.93,2.33,13.95,2.33,6.98,2.33,4.65,0.0,2.33,2.33,0.0,0.0,9.3,2.33,2.33,2.33,0.0,0.0,16.28,0.0,2.33,0.0,0.0,2.33,0.0,9.3,16.28,6.98,6.98,0.0,0.0,0.0,2.33
792,1063,41,11672,52191,Strong Agreement,5,21,140,5.714285714285714,0,0,0,0,20,14,8,0,0,0,0,0,0,0,0,0,29,83.44,98.06,11.5,1.0,9.67,34.48,82.76,41.38,10.34,3.45,0.0,0.0,0.0,3.45,6.9,6.9,10.34,6.9,6.9,0.0,0.0,6.9,0.0,0.0,3.45,0.0,0.0,6.9,0.0,6.9,6.9,24.14,0.0,3.45,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,6.9,17.24,6.9,6.9,3.45,0.0,0.0,6.9,0.0,13.79,0.0,6.9,3.45,0.0,3.45,37.93,0.0,3.45,6.9,0.0,3.45,10.34
5440,5073,3,7350,4807,Weak Disagreement,3,38,183,3.945945945945946,0,0,0,2,34,13,10,0,0,0,0,0,0,0,0,0,21,67.14,68.29,68.01,25.77,21.0,42.86,85.71,42.86,4.76,0.0,0.0,0.0,0.0,0.0,4.76,9.52,4.76,4.76,14.29,4.76,0.0,14.29,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,4.76,0.0,14.29,0.0,0.0,0.0,4.76,9.52,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,4.76,4.76,0.0,23.81,14.29,9.52,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,40,2,28744,11073,Weak Agreement,4,30,168,4.633333333333334,0,0,0,3,24,13,6,0,0,0,0,0,0,0,0,0,38,76.19,78.51,9.58,25.77,19.0,10.53,86.84,52.63,13.16,7.89,2.63,5.26,0.0,0.0,5.26,7.89,13.16,13.16,0.0,5.26,0.0,18.42,0.0,0.0,0.0,2.63,5.26,0.0,0.0,0.0,0.0,7.89,0.0,13.16,2.63,0.0,5.26,7.89,0.0,2.63,0.0,0.0,0.0,7.89,2.63,2.63,0.0,2.63,2.63,13.16,2.63,10.53,0.0,10.53,0.0,2.63,2.63,13.16,2.63,0.0,10.53,0.0,0.0,0.0
8587,5489,7,15526,6992,Neutral,3,13,65,4.416666666666667,0,0,0,0,10,13,1,0,0,0,0,0,0,0,1,0,30,5.16,84.14,10.08,99.0,10.0,16.67,83.33,46.67,13.33,3.33,0.0,0.0,0.0,3.33,10.0,0.0,3.33,20.0,3.33,6.67,3.33,30.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,20.0,0.0,10.0,0.0,0.0,6.67,3.33,3.33,3.33,0.0,0.0,0.0,6.67,3.33,3.33,0.0,0.0,10.0,10.0,0.0,16.67,3.33,6.67,6.67,0.0,3.33,10.0,0.0,0.0,0.0,10.0,0.0,0.0
168,74,6,620,3618,Neutral,5,15,108,6.266666666666667,1,0,0,0,13,13,10,0,0,0,0,0,0,0,0,0,11,12.85,99.0,1.0,25.77,11.0,9.09,100.0,54.55,27.27,18.18,0.0,0.0,0.0,18.18,9.09,0.0,9.09,18.18,0.0,0.0,0.0,18.18,18.18,9.09,0.0,0.0,0.0,18.18,9.09,9.09,0.0,36.36,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,9.09,9.09,0.0,36.36,9.09,9.09,18.18,9.09,0.0,18.18,0.0,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0
2180,1026,44,177742,188259,Weak Agreement,3,10,54,4.5,0,0,0,0,6,13,2,0,0,0,0,0,0,0,0,1,15,92.84,74.76,10.08,1.0,7.5,33.33,73.33,40.0,6.67,0.0,0.0,0.0,0.0,0.0,6.67,6.67,13.33,6.67,6.67,0.0,0.0,13.33,13.33,13.33,6.67,0.0,6.67,6.67,0.0,6.67,0.0,13.33,0.0,13.33,0.0,0.0,0.0,6.67,0.0,6.67,6.67,6.67,0.0,6.67,0.0,0.0,6.67,0.0,0.0,13.33,0.0,6.67,0.0,6.67,0.0,0.0,0.0,13.33,0.0,0.0,6.67,0.0,0.0,6.67
29,109,1,9962,671,Neutral,3,12,77,5.5,0,0,0,1,10,13,7,0,0,0,0,0,0,0,0,0,10,24.86,84.14,1.0,25.77,5.0,10.0,80.0,30.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,10.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
