stance,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anger,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,bio,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time.1,work,informal,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
Strong Agreement,1,92.84,50.0,1.0,25.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,17,97.02,88.03,1.0,25.77,8.5,11.76,76.47,41.18,5.88,0.0,0.0,0.0,0.0,0.0,5.88,11.76,11.76,11.76,0.0,0.0,0.0,23.53,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,17.65,5.88,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,11.76,11.76,0.0,5.88,0.0,0.0,5.88,0.0,0.0,17.65,11.76,0.0,0.0,0.0,0.0,5.88
Neutral,43,35.82,99.0,1.0,1.0,10.75,18.6,81.4,48.84,13.95,11.63,0.0,4.65,2.33,4.65,2.33,2.33,11.63,11.63,6.98,6.98,0.0,20.93,4.65,0.0,4.65,0.0,0.0,6.98,0.0,6.98,2.33,20.93,2.33,13.95,2.33,6.98,2.33,4.65,0.0,2.33,2.33,0.0,0.0,9.3,2.33,2.33,2.33,0.0,0.0,16.28,0.0,2.33,0.0,0.0,2.33,0.0,9.3,16.28,6.98,6.98,0.0,0.0,0.0,2.33
Strong Agreement,29,83.44,98.06,11.5,1.0,9.67,34.48,82.76,41.38,10.34,3.45,0.0,0.0,0.0,3.45,6.9,6.9,10.34,6.9,6.9,0.0,0.0,6.9,0.0,0.0,3.45,0.0,0.0,6.9,0.0,6.9,6.9,24.14,0.0,3.45,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,6.9,17.24,6.9,6.9,3.45,0.0,0.0,6.9,0.0,13.79,0.0,6.9,3.45,0.0,3.45,37.93,0.0,3.45,6.9,0.0,3.45,10.34
Weak Disagreement,21,67.14,68.29,68.01,25.77,21.0,42.86,85.71,42.86,4.76,0.0,0.0,0.0,0.0,0.0,4.76,9.52,4.76,4.76,14.29,4.76,0.0,14.29,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,4.76,0.0,14.29,0.0,0.0,0.0,4.76,9.52,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,4.76,4.76,0.0,23.81,14.29,9.52,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weak Agreement,38,76.19,78.51,9.58,25.77,19.0,10.53,86.84,52.63,13.16,7.89,2.63,5.26,0.0,0.0,5.26,7.89,13.16,13.16,0.0,5.26,0.0,18.42,0.0,0.0,0.0,2.63,5.26,0.0,0.0,0.0,0.0,7.89,0.0,13.16,2.63,0.0,5.26,7.89,0.0,2.63,0.0,0.0,0.0,7.89,2.63,2.63,0.0,2.63,2.63,13.16,2.63,10.53,0.0,10.53,0.0,2.63,2.63,13.16,2.63,0.0,10.53,0.0,0.0,0.0
Neutral,30,5.16,84.14,10.08,99.0,10.0,16.67,83.33,46.67,13.33,3.33,0.0,0.0,0.0,3.33,10.0,0.0,3.33,20.0,3.33,6.67,3.33,30.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,20.0,0.0,10.0,0.0,0.0,6.67,3.33,3.33,3.33,0.0,0.0,0.0,6.67,3.33,3.33,0.0,0.0,10.0,10.0,0.0,16.67,3.33,6.67,6.67,0.0,3.33,10.0,0.0,0.0,0.0,10.0,0.0,0.0
Neutral,11,12.85,99.0,1.0,25.77,11.0,9.09,100.0,54.55,27.27,18.18,0.0,0.0,0.0,18.18,9.09,0.0,9.09,18.18,0.0,0.0,0.0,18.18,18.18,9.09,0.0,0.0,0.0,18.18,9.09,9.09,0.0,36.36,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,9.09,9.09,0.0,36.36,9.09,9.09,18.18,9.09,0.0,18.18,0.0,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0
Weak Agreement,15,92.84,74.76,10.08,1.0,7.5,33.33,73.33,40.0,6.67,0.0,0.0,0.0,0.0,0.0,6.67,6.67,13.33,6.67,6.67,0.0,0.0,13.33,13.33,13.33,6.67,0.0,6.67,6.67,0.0,6.67,0.0,13.33,0.0,13.33,0.0,0.0,0.0,6.67,0.0,6.67,6.67,6.67,0.0,6.67,0.0,0.0,6.67,0.0,0.0,13.33,0.0,6.67,0.0,6.67,0.0,0.0,0.0,13.33,0.0,0.0,6.67,0.0,0.0,6.67
Neutral,10,24.86,84.14,1.0,25.77,5.0,10.0,80.0,30.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,10.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
Neutral,13,23.17,98.93,1.0,1.0,13.0,15.38,92.31,61.54,23.08,23.08,0.0,0.0,0.0,23.08,0.0,7.69,15.38,7.69,7.69,7.69,7.69,15.38,0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,0.0,30.77,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,7.69,0.0,7.69,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,84.62,30.77,0.0,23.08,23.08,7.69,0.0
Neutral,13,97.77,50.0,1.4,1.0,6.5,15.38,92.31,53.85,15.38,7.69,0.0,0.0,0.0,7.69,7.69,15.38,15.38,0.0,0.0,0.0,7.69,7.69,7.69,0.0,0.0,0.0,0.0,23.08,0.0,15.38,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,7.69,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,23.08,0.0,7.69,7.69,0.0,0.0,7.69
Strong Agreement,7,99.0,92.33,89.63,25.77,7.0,14.29,71.43,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,14.29,14.29,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0
Neutral,29,68.4,84.96,1.0,25.77,7.25,17.24,89.66,58.62,17.24,6.9,3.45,3.45,0.0,0.0,10.34,10.34,13.79,13.79,6.9,0.0,0.0,20.69,6.9,3.45,0.0,0.0,0.0,13.79,6.9,6.9,0.0,10.34,0.0,10.34,0.0,3.45,3.45,3.45,0.0,0.0,0.0,0.0,3.45,17.24,0.0,3.45,6.9,6.9,0.0,13.79,0.0,6.9,0.0,6.9,0.0,6.9,0.0,13.79,10.34,0.0,0.0,0.0,0.0,3.45
