,id,name,screen_name,location,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,statuses_count,language,topic,text,stance,count,Unnamed: 0,tweet_id,user_id,time,publishing_time,publishing_days,membership_age,membership_years,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anger,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,bio,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time.1,work,informal,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
0,8.14e+17,cajungirl4ever 🌻❤🇺🇸,cajungirl4good,God's County  Prolife 🙇🌻💅,Tattooed Mom and MeMe of 5🙇#LoveJesus 💖#Military #BacktheBlue 🚔#Conservative Trump is #Maga 🇺🇸 Stand for Our Flag 🇺🇸🌻 Knee to 🙇,11102.0,10796.0,3.0,12/27/2016 0:17,14237.0,,18143.0,en,backer,Always knew these kids had ties to #Soros . The parents need to have a Mental background check.,Strong Agreement,3.0,0.0,9.69e+17,8.14e+17,2/28/2018 0:14,13 days 09:44:04.000000000,13.0,681 days 22:06:19.034922000,1.0,1,92.84,50.0,1.0,25.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4885703096.0,🇺🇸MAGA🇺🇸,izzieadams1,"Pensacola, FL",Retired Hoosier now FLORIDIAN/ LOVE GOD/HUBBY/FAMILY/BOATING/ RETIRED USAF BOOM OP/ I WORKED IND. ATTY GEN / FB @GenFlynn No Lists/I will Block,16018.0,9948.0,42.0,2/10/2016 0:01,154509.0,,189181.0,en,backer,"Parents, if ur children are involved with George SOROS, pls pls tell them how dangerous that is for them. He is a Nazi & is trying to ruin America, using ANTIFA for instance. Why do u think weâre fighting so hard. FOR AMERICA",Strong Agreement,4.0,2.0,9.69e+17,4885703096.0,3/1/2018 0:02,14 days 09:32:12.000000000,14.0,1002 days 22:21:38.034922000,2.0,17,97.02,88.03,1.0,25.77,8.5,11.76,76.47,41.18,5.88,0.0,0.0,0.0,0.0,0.0,5.88,11.76,11.76,11.76,0.0,0.0,0.0,23.53,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,17.65,5.88,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,0.0,11.76,11.76,0.0,5.88,0.0,0.0,5.88,0.0,0.0,17.65,11.76,0.0,0.0,0.0,0.0,5.88
2,3146532809.0,Wesmoms,Wesmoms,Texas,"I was mom to Wesley, cutest Pomeranian ever. Conservative. Christian. Supports soldiers and veterans. #NoDACA #NoAmnesty",1957.0,2118.0,1.0,4/8/2015 0:04,15054.0,,19454.0,en,backer,"Why the hell is planned parenthood sponsoring these ""kids""? Planned parenthood KILLS children in the womb, yet they're sponsoring these ""kids"" in their march for life? #hypocrites #Hypocrisy #PlannedParenthoodMurdersChildren",Neutral,3.0,3.0,9.69e+17,3146532809.0,2/28/2018 0:13,13 days 09:43:01.000000000,13.0,1310 days 22:18:39.034922000,3.0,43,35.82,99.0,1.0,1.0,10.75,18.6,81.4,48.84,13.95,11.63,0.0,4.65,2.33,4.65,2.33,2.33,11.63,11.63,6.98,6.98,0.0,20.93,4.65,0.0,4.65,0.0,0.0,6.98,0.0,6.98,2.33,20.93,2.33,13.95,2.33,6.98,2.33,4.65,0.0,2.33,2.33,0.0,0.0,9.3,2.33,2.33,2.33,0.0,0.0,16.28,0.0,2.33,0.0,0.0,2.33,0.0,9.3,16.28,6.98,6.98,0.0,0.0,0.0,2.33
3,158429392.0,David T,DTNCA,"Santa Cruz, CA",Blind guy who sees more than most Attitude is everything or 95% of it ❤️🇺🇸🚂 Loves The Howard Stern Show DJT Avril Lavigne RUSH 49ers Sharks Team USA & Cabo,792.0,1063.0,41.0,6/22/2010 0:17,11672.0,,52191.0,en,backer,It all came together just a little too quickly and the presence of professional organizing is obvious hardly spontaneous grassroots movement,Strong Agreement,5.0,4.0,9.69e+17,158429392.0,3/1/2018 0:02,14 days 09:32:07.000000000,14.0,3061 days 22:05:53.034922000,8.0,29,83.44,98.06,11.5,1.0,9.67,34.48,82.76,41.38,10.34,3.45,0.0,0.0,0.0,3.45,6.9,6.9,10.34,6.9,6.9,0.0,0.0,6.9,0.0,0.0,3.45,0.0,0.0,6.9,0.0,6.9,6.9,24.14,0.0,3.45,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,6.9,17.24,6.9,6.9,3.45,0.0,0.0,6.9,0.0,13.79,0.0,6.9,3.45,0.0,3.45,37.93,0.0,3.45,6.9,0.0,3.45,10.34
4,19190837.0,Jen,nerbonnej,Southern RI,"Mom of 3, #ProConstitution, #MAGA, Dog Lover 🐶 #ProLife, #TrumpPence, #SethRich, #NRA, #TrumpTrain 🚂, #Vets, #StoptheLiberalMadness, #KatesWall, #BackTheBlue",5440.0,5073.0,3.0,1/19/2009 0:17,7350.0,,4807.0,en,backer,I bet if you do a little bit of research you would find some of these families have million dollar homes.  This is a plan rolled out by the left and btw shouldnât DWS be in jail????,Weak Disagreement,3.0,5.0,9.69e+17,19190837.0,2/28/2018 0:15,13 days 09:45:41.000000000,13.0,3580 days 22:06:24.034922000,9.0,21,67.14,68.29,68.01,25.77,21.0,42.86,85.71,42.86,4.76,0.0,0.0,0.0,0.0,0.0,4.76,9.52,4.76,4.76,14.29,4.76,0.0,14.29,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,4.76,0.0,14.29,0.0,0.0,0.0,4.76,9.52,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,4.76,4.76,0.0,23.81,14.29,9.52,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,897797426.0,JJ,jjd_53,,,188.0,40.0,2.0,10/22/2012 0:15,28744.0,,11073.0,en,backer,Planned Parenthood is helping those kids! LMAO! If PP had its way those kids would have never been born and PP wud have benefited from selling their little visit parts!,Weak Agreement,4.0,7.0,9.69e+17,897797426.0,2/28/2018 0:15,13 days 09:45:05.000000000,13.0,2208 days 22:08:08.034922000,6.0,38,76.19,78.51,9.58,25.77,19.0,10.53,86.84,52.63,13.16,7.89,2.63,5.26,0.0,0.0,5.26,7.89,13.16,13.16,0.0,5.26,0.0,18.42,0.0,0.0,0.0,2.63,5.26,0.0,0.0,0.0,0.0,7.89,0.0,13.16,2.63,0.0,5.26,7.89,0.0,2.63,0.0,0.0,0.0,7.89,2.63,2.63,0.0,2.63,2.63,13.16,2.63,10.53,0.0,10.53,0.0,2.63,2.63,13.16,2.63,0.0,10.53,0.0,0.0,0.0
6,9.34e+17,Joyjoy,freedom_girlbot,,True patriot🇺🇸🇺🇸 fighting 💪the gangster government mafia gang.🇺🇸🇺🇸 We can do this together. 💃🕺 God bless America and god bless us .😇🗽🚂🚂,8587.0,5489.0,7.0,11/24/2017 0:21,15526.0,,6992.0,en,backer,"Poor kids  , they should have parents that watch over them better",Neutral,3.0,9.0,9.69e+17,9.34e+17,2/28/2018 0:19,13 days 09:49:08.000000000,13.0,349 days 22:02:15.034922000,0.0,30,5.16,84.14,10.08,99.0,10.0,16.67,83.33,46.67,13.33,3.33,0.0,0.0,0.0,3.33,10.0,0.0,3.33,20.0,3.33,6.67,3.33,30.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,20.0,0.0,10.0,0.0,0.0,6.67,3.33,3.33,3.33,0.0,0.0,0.0,6.67,3.33,3.33,0.0,0.0,10.0,10.0,0.0,16.67,3.33,6.67,6.67,0.0,3.33,10.0,0.0,0.0,0.0,10.0,0.0,0.0
7,18255010.0,spectre2012,spectre2012,,I follow everything and anything that can effect world markets throughout the day. Mostly macro view in regards to trading.,168.0,74.0,6.0,12/19/2008 0:22,620.0,,3618.0,en,backer,Where is the minority representation more black teenagers die from gun violence than anyone? #AllLivesMatter,Neutral,5.0,11.0,9.69e+17,18255010.0,2/28/2018 0:13,13 days 09:43:44.000000000,13.0,3611 days 22:00:28.034922000,9.0,11,12.85,99.0,1.0,25.77,11.0,9.09,100.0,54.55,27.27,18.18,0.0,0.0,0.0,18.18,9.09,0.0,9.09,18.18,0.0,0.0,0.0,18.18,18.18,9.09,0.0,0.0,0.0,18.18,9.09,9.09,0.0,36.36,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,9.09,9.09,0.0,36.36,9.09,9.09,18.18,9.09,0.0,18.18,0.0,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0
8,7.31e+17,DorotheaV🇺🇸🌻🌵🤠,DoreeeV,"Arizona, USA","Best day Arizona Trump Rally sat in bleachers..arm behind left side of President Trump's head Proudly Holding my Women For Trump Sign! Bots, Trolls, Lists 🚫",2180.0,1026.0,44.0,5/13/2016 0:22,177742.0,,188259.0,en,backer,Florida is his home base! He found more Useful Idiots!,Weak Agreement,3.0,12.0,9.69e+17,7.31e+17,2/28/2018 0:13,13 days 09:43:21.000000000,13.0,909 days 22:00:27.034922000,2.0,15,92.84,74.76,10.08,1.0,7.5,33.33,73.33,40.0,6.67,0.0,0.0,0.0,0.0,0.0,6.67,6.67,13.33,6.67,6.67,0.0,0.0,13.33,13.33,13.33,6.67,0.0,6.67,6.67,0.0,6.67,0.0,13.33,0.0,13.33,0.0,0.0,0.0,6.67,0.0,6.67,6.67,6.67,0.0,6.67,0.0,0.0,6.67,0.0,0.0,13.33,0.0,6.67,0.0,6.67,0.0,0.0,0.0,13.33,0.0,0.0,6.67,0.0,0.0,6.67
9,341022215.0,Janet Sullivan,JanCatt35,"Bon Air, VA",,29.0,109.0,1.0,7/23/2011 0:17,9962.0,,671.0,en,backer,They all look SO saddened by the loss of their classmates....don't they???!!!,Neutral,3.0,13.0,9.69e+17,341022215.0,2/28/2018 0:15,13 days 09:45:00.000000000,13.0,2665 days 22:05:48.034922000,7.0,10,24.86,84.14,1.0,25.77,5.0,10.0,80.0,30.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,10.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
