screen_name,favorites_count,followers_count,friends_count,listed_count,statuses_count,scaled_followers,scaled_friends,influence,weighted_influence,cluster,clustering_coeff,degree_centrality,closeness_centrality,label,cycle,triangles,avg_neighbor,majority_neighbor,repliers_cluster_coeff,repliers_closeness,repliers_clique_num,repliers_pagerank,repliers_degree_centrality,connected_to_Trump,connected_to_TheDailyShow,center_node
Sunshin68748888,6013,408,467,5,8217,0.001265842421233886,0.0058270840871941405,0.8736616702355461,0.0011059180039902042,2.0,0.0014213180584452835,0.0006025683153017996,0.369735097207288,-999,1.0,332.0,0.0,-999.0,0.0,0.2333428451753321,2.0,0.0003313868371232964,0.0011098779134295226,1.0,0.0,0
TheLadyofLedger,1540,103,275,0,2851,0.0003195631602624761,0.003431366432501903,0.37454545454545457,0.00011969092911649106,0.0,0.0,0.00033035543602072344,0.33246575331770645,2,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0,0
rockinrobyn59,47982,5016,4942,77,87919,0.015562415649287188,0.061664774216088736,1.0149736948603805,0.015795442512510024,1.0,0.0015529058440635528,0.006442371476318801,0.3930983064005357,2,1.0,41519.0,1.0967741935483872,2.0,0.3612903225806451,0.2741053763589111,9.0,0.0022733160627128077,0.034406215316315214,1.0,0.0,0
Hotpep2706,797,5,26,0,1120,1.5512774770023114e-05,0.0003244200990729072,0.19230769230769232,2.9832259173121375e-06,0.0,0.0,3.259506968737804e-05,0.3075645998520822,-2,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0,0
DefaultNu,938,8,134,1,1308,2.482043963203698e-05,0.0016720112798372909,0.05970149253731344,1.4818172914648943e-06,3.0,0.0,0.00012509459177318058,0.2951177750308901,0,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0,0
DawnPisturino,3762,1384,1335,13,3020,0.004293936056342398,0.016657724317781966,1.0367041198501872,0.004451541199983429,1.0,0.0017735834890486007,0.00246577297445868,0.34345646315260203,1,1.0,6945.0,0.5714285714285714,-999.0,0.5238095238095238,0.2366271613607757,6.0,0.0006542702130235375,0.00776914539400666,1.0,0.0,0
MarciaBunney,274605,9554,10506,17,165850,0.02964181003056017,0.13109067541769087,0.9093851132686084,0.02695582077212753,0.0,0.0001406437930990705,0.012989575744334843,0.3475667827015071,2,1.0,15288.0,-0.15384615384615385,0.0,0.05128205128205128,0.1690032191241156,3.0,0.005230180305451335,0.014428412874583798,0.0,1.0,0
DavidDMiller5,15416,956,505,1,14552,0.0029660425360284195,0.006301236539685313,1.8930693069306928,0.005614924088006275,3.0,0.0004747805219132792,0.001122327534641071,0.3275623343938902,0,1.0,385.0,1.0,2.0,0.0,0.2013963061895479,2.0,0.0003778999182574917,0.002219755826859045,1.0,0.0,0
america_trust,12096,1701,1462,10,18323,0.005277445976761864,0.01824239172479193,1.1634746922024624,0.006140174833428133,4.0,0.002657925761314357,0.004473453077635289,0.3827503072410298,2,1.0,34262.0,0.9583333333333334,2.0,0.37318840579710144,0.274318356449322,7.0,0.0017545134026664445,0.02663706992230855,1.0,0.0,0
JerilynneGraue,6300,3204,4793,10,11522,0.009940586072630807,0.05980559749447863,0.6684748591696223,0.00664503187496539,1.0,0.001049421675995219,0.0040972883544863605,0.3754127225563385,0,1.0,11348.0,0.5,0.0,0.4,0.25344416708562634,5.0,0.0008940706594246264,0.011098779134295227,1.0,0.0,0
