id,name,screen_name,location,protected,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,verification,statuses_count,language,topic
1332568579,🇺🇸#MAGAveteran🇺🇸,JamesRitch1,,FALSE,American 🇺🇸.  Conservative.  Lifetime NRA Member.  Veteran.  Capitalist. Trump Supporter.,11856,6325,261,4/6/2013 21:45,16837,,FALSE,103064,en,FBI
8.25576E+17,Ed Jorgenson,EdJorgenson1,Republic of Taxifornia,FALSE,Luck happens when preparation meets opportunity | Married 41 yrs | 2 children | 3 grand boys | Conservative Trump supporter | Retired LEO | Fishin fool.,1772,1798,2,1/29/2017 5:27,91933,,FALSE,6730,en,FBI
457289069,Sammy’s World,sammyintheair,Oregon turning RED,FALSE,"Common Sense, Optimistic, Educated Fmr female dem until liars Obama & Hillary #MAGA #MaxWarriors #CONSERVATIVE🐘 #Trump2020🇺🇸lists,porn,dolts R Blocked",6696,6683,3,1/7/2012 7:14,27515,,FALSE,16001,en,FBI
7.84923E+17,ProudConservative,MarshaPeters919,#NRA Country #IStandWIthIsreal,FALSE,The Constitution is under siege- We must preserve it for our children. Dems are coming for #2A #1A -I HATE RACISM & Homophobes & Victims & killers.#independance,16918,18562,5,10/9/2016 1:05,32489,,FALSE,38886,en,FBI
423168084,NRA Member Chrissie🐸🐇,cmg1266,Deploraville 🐸🐸🐸,FALSE,"Army & STEM Mom #MAGA flwd by pjmedia, Dinesh,Searcy,Sherrod,Wahl, Crowder,Paronto, Walsh, Seagal, Jenna J, Mrs Baio #NRA #BlueLivesMatter",8560,8282,172,11/28/2011 5:10,135612,,FALSE,162168,en,FBI
107033885,Covfefe Kimmie,kimmieguy,,FALSE,retired RN. 🇺🇸#DrainTheSwamp #TrumpTrain #MAGA,5568,806,40,1/21/2010 11:17,16922,,FALSE,89201,en,FBI
7.97729E+17,spudflyer,spudflyer,Joint Base Langley-Eustis,FALSE,"Μολὼν λαβέ
If something you thought was true, was actually not true, when would you want to know? Maintenant les lézards auront fait de nous leurs esclaves.",154,499,2,11/13/2016 9:12,7760,,FALSE,12009,en,FBI
7.81687E+17,UnitedWeStand,TrumpWillWinnn,United States,FALSE,"Be yourself, everyone else is already taken. #Trump & Military Supporter. #MAGA
Proud of our son who serves in the United States Air Force. 🇱🇷",10326,11250,12,9/30/2016 2:47,56936,,FALSE,46215,en,FBI
885871045,Bonnie,BonBee81,"Ohio, USA",FALSE,POTUS45 #MAGA #KAG2020 #BasketOfDeplorables #NotABot Hate Socialism...Comey Hillary John Brennan Obama for Prison. #Liberal Media is a Sickness,4469,2334,0,10/17/2012 2:31,189703,,FALSE,162231,en,FBI
1104969835,Jaś Fazolka,JasFazolka,,FALSE,"Jestem zawsze dumnym pro-Polskim Moherem.
Czas próby, czas się jednoczyć. Nie ma pozwolenia na słabość; ataki nieprzyjaciół Polski muszą być odparte siłom i ...",466,238,49,1/19/2013 23:58,9732,,FALSE,46690,en,FBI
2794184389,Sample 1,sample1_,,FALSE,,326,554,5,9/6/2014 15:24,21456,,FALSE,5936,en,FBI
8.94966E+17,John Stieglitz,john_stieglitz,"Kentucky, USA",FALSE,#FreeAssangeNow. followed by @GenFlynn @PrayingMedic Remember Gary Webb,4432,4997,5,8/8/2017 16:59,14937,,FALSE,20126,en,FBI
8.1527E+17,HUDAHAR 🇺🇸,HUDAHAR2,LSD,FALSE,"I have nothing to prove.
No one to convince.
Those who matter, already know.
Those who don't, never will.",1921,3466,5,12/31/2016 18:56,1667,,FALSE,9002,en,FBI
8.23186E+17,Bill Giampolo,americansparky,"New Jersey, USA",FALSE,Baseball Football Gov Officials & Agencies Government & Politics Potus45,481,473,0,1/22/2017 15:11,7983,,FALSE,13322,en,FBI
9.08506E+17,#LIBERTYRISING,AlexLondonUK,,FALSE,"Honoured to be followed by the Great Patriots General Flynn & Anthony Scaramucci.
I follow back Patriots who follow me.",4008,4121,2,9/15/2017 1:42,30324,,FALSE,8404,en,FBI
8.29851E+17,Ilsa,ilsadhinsley,Gulf Coast,FALSE,"Wife, mother, & USMC Vet livin' large in a small house on the Gulf Coast.",407,287,1,2/10/2017 0:35,13519,,FALSE,9208,en,FBI
2553755252,Tonjand Haleg,TonjandHaleg,"Cosmopolitan, Earth. American ",FALSE,"American Patriots, 1×Veteran, 2×US constitutionalist w/deep abide for wisdom of our founding fathers. #MAGA, #2AisNotYourstoTakeFromMe, @POTUS rocks",4472,4982,4,6/8/2014 2:59,35130,,FALSE,10298,en,FBI
541198983,MAGA with Covfefe,SERD1983,United States,FALSE,"Conservative Christian 🇺🇸Trump supporter, Wife for 25 years, mom of 2 college students, former TV journalist when journalism was cool😎UGA grad INDEPENDENT",3266,2147,57,3/30/2012 20:41,179359,,FALSE,158594,en,FBI
8.20047E+17,Nick,nutranick,,FALSE,Truth will always win and the corrupt era will go down #TrustThePlan #MAGA #TheGreatAwakening #Patriot,1037,919,45,1/13/2017 23:15,41630,,FALSE,8244,en,FBI
531706752,@PhilKuhlenbeck,PJKuhlenbeckIII,USA,FALSE,10 years on #Twitter nobody reading my tweets!💩 I'm one of the 99.99%,625,734,160,3/20/2012 20:41,626,,FALSE,31677,en,FBI
151284118,Robyn Harms,rockinrobyn59,"Dodge,NE",FALSE,"Country girl, Christian. farmwife, nurse, mother of six kids. Love to read and listen to music, big fan of Casey James and Robert Pattinson.",5016,4942,77,6/3/2010 1:55,47982,,FALSE,87919,en,FBI
9.65826E+17,Ian James Mullen,EndofTimes27,,FALSE,,8,51,2,2/20/2018 5:52,32,,FALSE,266,en,FBI
7.03012E+17,lenny,lennypublic26,USA,FALSE,"Realistic, Truth Justice and the American Way, All haters,idiots, punks, racist, circular logic clowns blocked. life is to short for a lot of BS. #MAGA #Patriot",393,294,5,2/26/2016 0:22,2330,,FALSE,8401,en,FBI
1684178449,Samps,gbsamples,United States,FALSE,Ashamed registered Democrat ! #Vegan.A successful Democrat dies a Republican!*Opinions are my own * #MAGA🇺🇸🇺🇸🇺🇸 #2A 🛑#SorosFunds to save 🇺🇸USA🇺🇸,1676,2031,9,8/19/2013 20:45,33386,,FALSE,19708,en,FBI
9.27723E+17,Auntie Mame,YourAuntieMame,,FALSE,,5513,5495,12,11/7/2017 2:22,3138,,FALSE,28938,en,FBI
20631517,I'm Gary,noyokono,nyc everything,FALSE,I write about music: @forbesent @noiseymusic @vinylmeplease @beseofficial @crackmagazine @guardian. Previously: other places too. 🇨🇺#DEFENDDACA #ABOLISHICE,10060,1757,244,2/11/2009 21:44,93749,,TRUE,175822,en,FBI
1561122720,Deplorable Foghorn,TexanMAGA,"Aurora, TX",FALSE,The secret of success is constancy of purpose. Let’s Make America Great Again! #MAGA!!! I'm happy to be your Trump Derangement Syndrome therapist! 😉,17418,10013,12,7/1/2013 18:13,5233,,FALSE,10168,en,FBI
8.05191E+17,Laura #Covfefe ☘ 👠,mwenger1993,,FALSE,💙LifeLibertyPursuitOfHappiness💙 StrongMilitary🇺🇸Veterans💙 #Cavs🏀 # Cleveland Indians ⚾️ MAGA TRUMP 2020,3526,4977,7,12/3/2016 23:26,2285,,FALSE,57336,en,FBI
423168084,NRA Member Chrissie🐸🐇,cmg1266,Deploraville 🐸🐸🐸,FALSE,"Army & STEM Mom #MAGA flwd by pjmedia, Dinesh,Searcy,Sherrod,Wahl, Crowder,Paronto, Walsh, Seagal, Jenna J, Mrs Baio #NRA #BlueLivesMatter",8560,8282,172,11/28/2011 5:10,135612,,FALSE,162168,en,FBI
20241421,Mike Kivi,mikekivi,Dubai,FALSE,"I'm the big one, LFC and SPCC forever!",1253,4961,6,2/6/2009 14:49,936,,FALSE,1375,en,FBI
