id,name,screen_name,location,protected,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,verification,statuses_count,language,topic
8.13793E+17,cajungirl4ever 🌻❤🇺🇸,cajungirl4good,God's County  Prolife 🙇🌻💅,FALSE,Tattooed Mom and MeMe of 5🙇#LoveJesus 💖#Military #BacktheBlue 🚔#Conservative Trump is #Maga 🇺🇸 Stand for Our Flag 🇺🇸🌻 Knee to 🙇,11102,10796,3,12/27/2016 17:05,14237,,FALSE,18143,en,backer
1862343282,Geska Lima,Geskalima,Toronto,FALSE,A Catholic mom harvesting the sour grapes of Vatican II. I'm battling ovarian cancer and I might block you without notice if you give me unnecessary stress.,1162,639,19,9/14/2013 2:15,27293,,FALSE,18801,en,backer
4885703096,🇺🇸MAGA🇺🇸,izzieadams1,"Pensacola, FL",FALSE,Retired Hoosier now FLORIDIAN/ LOVE GOD/HUBBY/FAMILY/BOATING/ RETIRED USAF BOOM OP/ I WORKED IND. ATTY GEN / FB @GenFlynn No Lists/I will Block,16018,9948,42,2/10/2016 1:46,154509,,FALSE,189181,en,backer
3146532809,Wesmoms,Wesmoms,Texas,FALSE,"I was mom to Wesley, cutest Pomeranian ever. Conservative. Christian. Supports soldiers and veterans. #NoDACA #NoAmnesty",1957,2118,1,4/8/2015 4:45,15054,,FALSE,19454,en,backer
158429392,David T,DTNCA,"Santa Cruz, CA",FALSE,Blind guy who sees more than most Attitude is everything or 95% of it ❤️🇺🇸🚂 Loves The Howard Stern Show DJT Avril Lavigne RUSH 49ers Sharks Team USA & Cabo,792,1063,41,6/22/2010 17:31,11672,,FALSE,52191,en,backer
19190837,Jen,nerbonnej,Southern RI,FALSE,"Mom of 3, #ProConstitution, #MAGA, Dog Lover 🐶 #ProLife, #TrumpPence, #SethRich, #NRA, #TrumpTrain 🚂, #Vets, #StoptheLiberalMadness, #KatesWall, #BackTheBlue",5440,5073,3,1/19/2009 17:00,7350,,FALSE,4807,en,backer
8.35905E+17,Army Vet,joeptweet18,USA,FALSE,🇺🇸PATRIOT #Trump - #magavet  - ❤️Animals - US Army - 2nd Division 2/9th Infantry Mechanized- 'Keep Up The Fire'.  Dulce et decorum est pro patria mori,987,1135,2,2/26/2017 17:31,1505,,FALSE,11161,en,backer
897797426,JJ,jjd_53,,FALSE,,188,40,2,10/22/2012 15:16,28744,,FALSE,11073,en,backer
7.86593E+17,Wopgirl,LittleItaly53,Ohio,FALSE,"Italian, Conservative and proud of both!",1094,1045,0,10/13/2016 15:43,21793,,FALSE,10156,en,backer
9.34167E+17,Joyjoy,freedom_girlbot,,FALSE,True patriot🇺🇸🇺🇸 fighting 💪the gangster government mafia gang.🇺🇸🇺🇸 We can do this together. 💃🕺 God bless America and god bless us .😇🗽🚂🚂,8587,5489,7,11/24/2017 21:09,15526,,FALSE,6992,en,backer
8.32949E+17,Laura Lawson,LauraLaura1650,,FALSE,"I Thank God Everyday That Trump is Our President!  ♥️🇺🇸♥️

#MAGA 🇺🇸🇺🇸🇺🇸
 
 I love President Trump!  #QAnon",5081,3018,4,2/18/2017 13:46,15151,,FALSE,16940,en,backer
18255010,spectre2012,spectre2012,,FALSE,I follow everything and anything that can effect world markets throughout the day. Mostly macro view in regards to trading.,168,74,6,12/19/2008 22:56,620,,FALSE,3618,en,backer
7.31257E+17,DorotheaV🇺🇸🌻🌵🤠,DoreeeV,"Arizona, USA",FALSE,"Best day Arizona Trump Rally sat in bleachers..arm behind left side of President Trump's head Proudly Holding my Women For Trump Sign! Bots, Trolls, Lists 🚫",2180,1026,44,5/13/2016 22:57,177742,,FALSE,188259,en,backer
341022215,Janet Sullivan,JanCatt35,"Bon Air, VA",FALSE,,29,109,1,7/23/2011 17:36,9962,,FALSE,671,en,backer
7.95753E+17,Q,Preredacted,"Moscow, Russia",FALSE,I enjoy drinking beer and falling asleep in unusual places. The original Q. A one man well-regulated militia.,1136,1256,19,11/7/2016 22:22,11346,,FALSE,21107,en,backer
15480873,Charles Song,CS70,Downtown,FALSE,One day I'll find my dream burrito.,2573,724,102,7/18/2008 13:44,23338,,FALSE,6280,en,backer
1691006022,Tony Lockhart,tonylb17,North Florida,FALSE,"Service brat, 80s hard rock & metal head, Bible, Constitution, Bill of Rights,  Support NRA, Glock, Toby's Eye On You!",4149,4067,205,8/22/2013 13:14,874,,FALSE,156220,en,backer
1164705565,ConservativeKandi-CA,KandiKropp,United States of America ,FALSE,"Retired LE Dispatcher:SPD & SSD, BS Criminal Justice, NRA Life,married to Retired LEO Lt., NRA Benefactor. #MAGA #NRA #BuildTheWall #ThinBlueLine #TUMP2020",7374,6608,45,2/10/2013 2:29,49381,,FALSE,83980,en,backer
8.76907E+17,Hope Collins,Col42239925Hope,"Florida, USA",FALSE,Love our country. 🇺🇸 support Israel 🇮🇱 Christian Retired health insurance specialist Love our POTUS tired of the crap like the rest of ppl.,2542,3334,0,6/19/2017 20:58,41074,,FALSE,5030,en,backer
7.57075E+17,General Lee Marvin,dave_notdave,"No Name City, CA",FALSE,Born: under a wandrin' star. 🌟Creed: There's two kinds of people - them goin' somewhere & them goin' nowhere. 🇺🇸 #MAGA #DEPLORABLE #COS #TRUMPSTER ♥️🇺🇸,7101,7815,2,7/24/2016 4:50,107385,,FALSE,45804,en,backer
4786132700,CSH,mrshobbs58,"Michigan, USA",FALSE,Constitutional Conservative with a Libertarian edge who believes economic freedom from government is directly connected with all basic freedoms. #trump2020,3620,2719,97,1/20/2016 0:10,104724,,FALSE,69216,en,backer
871679250,Tim Finnigan,TimFinnigan,Maine,FALSE,Business & Political Consultant .   #MAGA #AmericaFirst #CONSERVATIVE   Trust Q   Pro Israel   owenfinniganandjames@gmail.com,1882,1534,3,10/10/2012 12:28,19704,,FALSE,17420,en,backer
529564536,Kay Taylor,KayTaylor3,Faithful Idahoan,FALSE,"American, Conservative, Wife, Mom, Metalsmith & dog owner/lover",3823,4068,79,3/19/2012 17:37,36942,,FALSE,63831,en,backer
2316261613,CAPT. JAKY 2018,usaf48,JET JOCKEY JAKY,FALSE,#MOM-1st #WIFE-2nd . #CARGO_PILOT-3rd #AIRBUS_320 #EX_USAF_C130_PILOT  #MEngineer  #DMs=#BLOCK #AVI_PINNED #JET_JOCKEY ✝️🛫✈️🛬🇺🇸,7782,5860,252,1/29/2014 0:30,75442,,FALSE,173824,en,backer
9.55616E+17,Eric Johnson,1Ej12,,FALSE,"Just being honest and sick of what is going on today . Fast cars , Cool bikes. Believe God is the great King
#MAGA #CHRISTIAN #DrainTheSwamp🇱🇷🇱🇷🇱🇷",2732,4195,0,1/23/2018 1:39,7819,,FALSE,5695,en,backer
183869529,Kingsley Nnaji🇺🇸,kingsleynnaji30,,FALSE,#MAGA🇺🇸   #TRUMP🇺🇸,1170,1831,1,8/28/2010 2:44,4314,,FALSE,1388,en,backer
23269567,🇺🇸❤️🚔👽ThinBlueLine👽👮‍♀️💙🍄☕,2zebra_20, Zeta Reticuli,FALSE,#BackTheBlue #BlueLivesMatter #LEO #MAGA #KAG #KAG2020 #CONSERVATIVE #PATRIOT #Redpill #CE5 #Meditation #TheGreatAwakening #DrainTheSwamp #Aliens👽 #SkyWatcher,1829,3885,3,3/8/2009 3:11,3623,,FALSE,2410,en,backer
9.37983E+17,John,VoiceofBasildon,"Basildon, East",FALSE,"Dual Nat' US-Brit. Recruitment, HR. Classic Cars. Political Debate. GB needs an overhaul. Double stage 2-3 throat and neck Cancer survivor.",2382,4991,11,12/5/2017 9:50,4387,,FALSE,19555,en-gb,backer
8.74972E+17,John & Evie Tomberlin,EvelynTomberlin,"St Simons, GA",FALSE,MAGA😎,432,104,0,6/14/2017 12:47,16820,,FALSE,8109,en,backer
270540665,Bee🐝TheChange,highplainsgypsy,,FALSE,"1946 vintage beekeeper, author, Patriot, lover of family, friends, country, freedom, dogs, #2A, rugged individualism and cryptos 🙏🏻❤️🇺🇸",317,601,6,3/22/2011 20:19,14587,,FALSE,6587,en,backer
37708407,Phill ن,PhillBennetzen,,FALSE,Contributor at @Draftshot and @fanvicedfs | Creator of the NFL Foundation Model and NASCAR Race Sheets | Annoying fitness guy | Catholic,1834,80,111,5/4/2009 17:30,2116,,FALSE,33245,en,backer
9.53858E+17,Adam smith,Adamsmi509,,FALSE,,1,26,0,1/18/2018 5:12,68,,FALSE,39,en,backer
7.84105E+17,Tonya Satterwhite #MAGA,TonyaS30305,"Kentucky, USA",FALSE,PROUD DEPLORABLE! #MAGA #NotABot 🤣 #GODFamilyCOUNTRY! 🕆✡😃🌹💟 Retweeted by Pres Trump #IStandWithPOTUSTrump #Israel #WOKE #RedPill,4081,5001,39,10/6/2016 18:57,29589,,FALSE,44654,en,backer
7.84825E+17,William Seemore,WilliamSeemore,Cabo san loco,FALSE,Conservative God fearing American. Married All posts just one mans opinion. Lists = BAN ✝️🇺🇸,659,556,0,10/8/2016 18:37,8890,,FALSE,20009,en,backer
3136363472,❌David Trevor,DavidTrevor10,,FALSE,"Political Correctness is a lethal cancer to the host. Leftards are the carriers, the host is the UK. Voting is an illusion of choice. Holohoax denier.",1096,1194,20,4/3/2015 15:30,9508,,FALSE,23892,en,backer
9.59239E+17,Luke Comstock,LukeComstock76," Nunyadamnbidness, South Kakalaki",FALSE,I'm just a proud American. Keeping my head above water and making a wave when I can. Followed by Jenna Jameson and blocked by Rosie O'Donnell,1184,699,9,2/2/2018 1:35,37383,,FALSE,12981,en,backer
127354143,D. Owen Powell,WriteTonight,"Treasure Coast, FL",FALSE,"I write Fiction, now officially retired, schooled in hypnosis, US Army 3 years 65-68. Re Editing novel finishing another stand by. From: Akron, Ohio",1655,1462,88,3/28/2010 23:12,2440,,FALSE,9167,en,backer
9.15185E+17,Truthseeker 💯✖,dementedlibs,Earth I think,FALSE,"CNN is my favourite Drama/Comedy. Will follow you, if you follow me.Yes I'm a Twitter prostitute.",421,542,0,10/3/2017 12:01,641,,FALSE,2574,en,backer
532282438,"Craig Noice, 💯#TrumpTrain🎯#MAGA 🇺🇸🇺🇸🇺🇸",CraigNoice,,FALSE,"Married ,6 boys11grnd kids,retired IUPAT,God,bible,guns, #DEPLORABLE #DTS #SAILOR
#BIKER
#MAGA #PATRIOT #CONSERVITIVE #USMC #VET
#VETERAN #1A #2A #NRA 🇺🇸 🇺🇸",7357,7440,6,3/21/2012 14:44,51603,,FALSE,37910,en,backer
8.2151E+17,"Educational & Political Research, Ltd.",JennaNeen,USA ,FALSE,#EOE:Equal Opportunity Exposer of Political Corruption -Follow My Crumbs #Analyst #KAG NoDM/Lists/Trains #TipYourResearcher 😎 🇺🇸 Arm Yourself W/Information,1955,2049,1,1/18/2017 0:08,44119,,FALSE,22229,en,backer
8.3118E+17,name is different but still me.,mz_nubbie,U S A ,FALSE,"I'll follow people who can 😂debate without being mean😎I love my 👪 my GOD😘my country 🤗.  TRUMP💞 
yes I changed this.  no lists",848,950,5,2/13/2017 16:34,5592,,FALSE,13294,en,backer
61900522,Redacted,IsGoogleSkynet,FEMA Region V,FALSE,"Father, graphics producer, Vet 🚢⚓, tattoo enthusiast, twin.",1187,1378,6,7/31/2009 23:12,26952,,FALSE,3119,en,backer
