id,name,screen_name,location,protected,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,verification,statuses_count,language,topic
18923609,TheTwoMajesties,TheTwoMajesties,"Northern Virginia, US",FALSE,"Pragmatic, RealWorld Left Politics. Media Watch. CurrentEvents & Culture. World Cinema. Neurology & Psychiatry",206,452,18,1/13/2009 1:29,129,,FALSE,11705,en,cnn
7036002,Eric Grant,ericgrant,"Connecticut, USA",FALSE,"Designer, innovator.
[ views are my own ]",5892,4214,398,6/23/2007 16:22,4875,,FALSE,60272,en,cnn
7.56303E+17,J GiGi 8,Jgigi8,United States,FALSE,I'm happily married to my best friend We are PROUD parents of 4 We are Both PROUD VETERANS #1A #2A #4A #5A #6A Never give up your Guns! #closernation,3766,4189,20,7/22/2016 1:41,17871,,FALSE,25820,en,cnn
22155491,Drew DiMatteo,drewdmat,,FALSE,Wine and food enthusiast,451,1062,26,2/27/2009 16:14,2306,,FALSE,3479,en,cnn
52612788,Kim,dreamsnpurple,"Ohio, USA",FALSE,"Texan in Ohio. Nurse. Living w CIDP. Proud wingmom. Married. 

Loving your country doesn't mean blindly follow the leader. RT≠endorsements.",681,972,1,7/1/2009 3:00,47676,,FALSE,12425,en,cnn
534251504,Maarten Wildeman,MaartenWildeman,,FALSE,"No one special, no one you know, shh now.",595,926,14,3/23/2012 12:36,16236,,FALSE,22531,en,cnn
17626317,Chad Felix Greene,chadfelixg,,FALSE,"Senior Contributor @FDRLST |
Author of: Reasonably Gay Series, Almost Jewish | @HuffPost @MisfitsPolitics #LWC
💜💙",16740,1196,339,11/25/2008 18:10,88510,,TRUE,77181,en,cnn
3322073049,Ms M,IgiturOne,,FALSE,"Homeschooling SAHM, nerdfighter, heretical Catholic, Chicagoan in exile, feminist, mom through adoption, happily married, farther left than you think",233,644,1,6/13/2015 1:40,48257,,FALSE,7350,en,cnn
22211830,Yellow Red Sparks,yellowredsparks,,FALSE,"family man. songwriter. independent. 🇺 WATCH the music video, ""The Great Media Hoax"" written for the upcoming film ""Hoaxed"" https://t.co/XwpbnaUIW2",3146,459,69,2/28/2009 0:42,15971,,TRUE,16921,en,cnn
52893083,🇺🇸NAVY VET🇺🇸,DisabledUSN_Vet,United States,FALSE,#USN Disabled Gulf War Era Vet. #SemperFortis USS Tarawa⚓️ Cavs🏀Tribe⚾️Browns🏈Proud Conservative #MAGA #Patriot #NRA #2A🇺🇸#ProLife  RIP MCA List=Block,1363,681,7,7/1/2009 23:39,2066,,FALSE,6914,en,cnn
9.62393E+17,Smedley Butler. “ War is A racket “,DavidDMiller5,           Saipan Bound,FALSE,"Aviation,NDI, USMC“Teufelshunde” , Constitutionalist, I only fear god nothing else!. Fortes Fortuna Juvat",956,505,1,2/10/2018 18:29,15416,,FALSE,14552,en,cnn
49960226,Matt Dornic,mdornic,"DC, NYC or somewhere between",FALSE,"VP Comms & Digital Partnerships @CNN Worldwide, @GreatBigStory & @bemeapp. Opinions & thoughts are mine. Follow @CNNPR for official network statements.",3888,859,132,6/23/2009 12:21,1041,,TRUE,1891,en,cnn
27588123,Precision F-Strike 🎯,IdeasAndBeliefs,Washington (the other one),FALSE,Recovering perfectionistt. Policy pitbull. Sharp-tongued. I move mountains 4 fun. #NoNRAmoney #ProtectKidsNotGuns #NoRA #VOTE #RESIST #FuckTheNRA,3092,3122,79,3/30/2009 5:00,61820,,FALSE,40885,en,cnn
8.13445E+17,Vic,DeplorableVic,"Some Town, USA",FALSE,"God bless America.
Freedom isn't free. American Flag is Sacred, people died to keep it up high. You can reach the sky. #MAGA #DEPLORABLES #NRA #PATRIOT #1A #2A",2076,1869,0,12/26/2016 18:04,7018,,FALSE,10718,en,cnn
7.5494E+17,Aalayah Kizer 🖖🏾🇺🇸🇫🇷,the_awk_christ,Wakanda,FALSE,Follower of Christ✝ Southern centrist/political scientist 🇺🇸 #ChooseLife #GodIsTooLit #WakandaForever #CancerSucks #BoycottNFL #DubNation #IMissObama,179,320,4,7/18/2016 7:25,45448,,FALSE,3117,en,cnn
