id,name,screen_name,location,protected,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,verification,statuses_count,language,topic
884304968,#Super Elite Ignorant Smelly Texan Per Strzok,Just_a_Texan,,FALSE,"I Support ??????God-Life-Military-LEO-Israel-NRA | Deplorable. 

Don't follow if you're PC, vote DEM, don't vote or are racist. ????????

#MAGA 

#Walkaway",80542,80139,533,10/16/2012 12:05,5687,,FALSE,172830,en,coached
1158627246,Martin Ellinger,Martin_Ellinger,,FALSE,"I once took second in a Moldovan wrestling tournament where the winner got a live ram.           

      

    
                                     Speakerbox.",346,4510,7,2/8/2013 0:14,3398,,FALSE,1504,en,coached
8.09E+17,Cindy Kay Hogan,CindyKayHogan1,"Lewisville, Texas 75077",FALSE,Joined for #Trump #Truthseeker #Texan #Christian #Republican IBM Software Eng on LTD #TWU grad #Conservative #TrumpTrain #1A #2A #MAGA Disrespect/Lists=block,7975,8096,3,12/13/2016 12:24,4828,,FALSE,221962,en,coached
8.19E+17,Cats For Trump,airbornelayer88,,FALSE,"I'm a former Army NCO and currently do contract work. I am a Christian and Support President Trump, Bigly.",4566,3918,19,1/10/2017 4:56,37344,,FALSE,20745,en,coached
3092616083,Jason Nelson,FloridaGuyOB,"Florida, USA",FALSE,Florida born and raised. My last account got hacked so starting a new one.,95,229,3,3/17/2015 1:17,1226,,FALSE,7325,en,coached
3579203061,David ????????,dtt170,United States,FALSE,#Christ | #MAGA | #AmericaFirst | #Trump2020 #RedWaveRising #KAG - opinions are mine ????,6022,5465,145,9/7/2015 17:52,74967,,FALSE,37741,en,coached
7.04E+17,k,KLelevier,Deplorable Nation ,FALSE,Daughter of a Purple heart Veteran RIP Dad #Marines Trump is my President We will never be controlled by Democrats again! #MAGA #IStandWithTrump 2018 2020 #Q,3850,5001,30,2/28/2016 5:36,114060,,FALSE,83535,en,coached
21274393,????????Bren????????MAGA????????,brenzachip,Delaware USA,FALSE,#God_Country_Family_Married????????#PresidentTrump????#USVetsBeforeIllegals????????#Dad_USMC_WWII_Korea????????#MAGA????????#RN??????#2A????????#BackTheBlue????#DrainTheSwamp????#Trolls????,3564,3965,5,2/19/2009 4:06,14208,,FALSE,4032,en,coached
30198443,Drew Reiner,djreiner,USA!,FALSE,"A 'Red, White, and Blue' American.  Retired Military.  Follower of the way, the truth via Jesus.  Ant-activist (treat libs like ants) #ProMilitary #ProIsrael",2846,4697,22,4/10/2009 11:10,2560,,FALSE,6417,en,coached
254690767,WantCongress????????????NoEvil,CHearSpeakNEvil,,FALSE,"SHADOW BANNED(??????ranked) TURN ON ????'s TO MY GET  TWEETS????

#FBTS #TrumpWorld #PatriotTrain #DeepStateInPanic #Maga ????#StopIslam #FollowTheWhiteRabbit #Qanon",21333,21738,31,2/19/2011 20:09,3468,,FALSE,34884,en,coached
2396615286,#TruthAlwaysWin,OnlyTruthReign,Earth,FALSE,?€?Difficult to free those from chains they revere?€? #RedPill Freedom of Speech is a Principle Pillar of a Free Govt-Franklin #ThankQ #MAGA #TrumpIsAGreatPresident,7936,5027,513,3/18/2014 18:35,194904,,FALSE,252994,en,coached
7.17E+17,Lib=MentalDisorder,darktolightMAGA,,FALSE,"Trump Supporter from Day 1! Christian, America First, 2A #KAG #MAGA #QAnonPosts #AmericaFirst ??????the #trumptrain #ccot #NRA #WWG1WAG #obamagate",3010,3722,20,4/4/2016 14:15,5870,,FALSE,14687,en,coached
