screen_name,text,stance,count
009fromIL,"Exposed brings out a different expression under trump presidency, use that word sparingly",Neutral,1
009fromIL,"Exposed brings out a different expression under trump presidency, use that word sparingly",Weak Agreement,1
009fromIL,"Exposed brings out a different expression under trump presidency, use that word sparingly",Weak Disagreement,3
04fat,Privileged Antifa?,Neutral,1
04fat,Privileged Antifa?,Weak Agreement,4
0SweetSolace0,"The more silent voices of these teens is heard,ripping the media for thier arrogance and ripping the other suriviors about rabid gun control. I believe we'll be hearing more from them in the coming days. David and his outspoken friends Karma coming",Strong Agreement,3
0SweetSolace0,"The more silent voices of these teens is heard,ripping the media for thier arrogance and ripping the other suriviors about rabid gun control. I believe we'll be hearing more from them in the coming days. David and his outspoken friends Karma coming",Weak Agreement,2
0SweetSolace0,"The more silent voices of these teens is heard,ripping the media for thier arrogance and ripping the other suriviors about rabid gun control. I believe we'll be hearing more from them in the coming days. David and his outspoken friends Karma coming",Weak Disagreement,3
100011crusader,@bchapman151 @RealMattCouch @TruthinGov2016 @realDonaldTrump @LisaMei62,Neutral,4
100011crusader,@bchapman151 @RealMattCouch @TruthinGov2016 @realDonaldTrump @LisaMei62,Weak Agreement,1
10th_Mt_Warrior,#CNNFakeNews,Neutral,1
10th_Mt_Warrior,#CNNFakeNews,Strong Agreement,1
10th_Mt_Warrior,#CNNFakeNews,Weak Agreement,3
1206geauxtigers,"Research/critical think:
1) Is David Hogg a student a Stoneman Douglas High School?
2) Was he accounted as ""present"" the day of the shooting?
Answers to both questions = YES, which means #CrisisActors theory is insane.
Why go after kids who saw their friends die in front of them?",Strong Agreement,1
1206geauxtigers,"Research/critical think:
1) Is David Hogg a student a Stoneman Douglas High School?
2) Was he accounted as ""present"" the day of the shooting?
Answers to both questions = YES, which means #CrisisActors theory is insane.
Why go after kids who saw their friends die in front of them?",Strong Disagreement,7
1206geauxtigers,Those pesky facts. They always seem to make you fall on your face donât they mike? LMAO,Neutral,4
1206geauxtigers,Those pesky facts. They always seem to make you fall on your face donât they mike? LMAO,Strong Agreement,1
1206geauxtigers,Those pesky facts. They always seem to make you fall on your face donât they mike? LMAO,Weak Disagreement,3
17erudolph,@jchambers1535,Neutral,4
17erudolph,@jchambers1535,Weak Disagreement,1
1977Trump,Good job kid,Strong Agreement,3
1977Trump,Good job kid,Weak Agreement,4
1977Trump,Good job kid,Weak Disagreement,1
1Ej12,Yes they do along with Bill Gates !! 2.9 Million in funds !! That have to be stopped !,Neutral,2
1Ej12,Yes they do along with Bill Gates !! 2.9 Million in funds !! That have to be stopped !,Strong Agreement,2
1Ej12,Yes they do along with Bill Gates !! 2.9 Million in funds !! That have to be stopped !,Weak Agreement,1
1JaimeLee,#MarchForOurLives was an AMAZING&powerful day for many!..,Strong Agreement,5
1hardkernel,$$ talks that allowed BS TO TALK !!! Exploiting the EMOTIONAL MATURITY OF YOUNG ADULTS  !! Snakes in grass up to our   EYES ??  Lower for sure !!,Strong Agreement,4
1hardkernel,$$ talks that allowed BS TO TALK !!! Exploiting the EMOTIONAL MATURITY OF YOUNG ADULTS  !! Snakes in grass up to our   EYES ??  Lower for sure !!,Strong Disagreement,1
1hardkernel,$$ talks that allowed BS TO TALK !!! Exploiting the EMOTIONAL MATURITY OF YOUNG ADULTS  !! Snakes in grass up to our   EYES ??  Lower for sure !!,Weak Agreement,2
1hardkernel,$$ talks that allowed BS TO TALK !!! Exploiting the EMOTIONAL MATURITY OF YOUNG ADULTS  !! Snakes in grass up to our   EYES ??  Lower for sure !!,Weak Disagreement,1
1lucyhannah,So proud of this kid.,Strong Agreement,3
1lucyhannah,So proud of this kid.,Weak Agreement,1
1lucyhannah,So proud of this kid.,Weak Disagreement,1
2blacksocks,#HoggWash,Strong Agreement,1
2blacksocks,#HoggWash,Strong Disagreement,3
2blacksocks,#HoggWash,Weak Agreement,1
2zebra_20,More Soros bull,Neutral,1
2zebra_20,More Soros bull,Strong Agreement,2
2zebra_20,More Soros bull,Weak Agreement,2
2zebra_20,More Soros bull,Weak Disagreement,1
76overdue,@justinbieber should we vote for a satanic world government?,Neutral,4
76overdue,@justinbieber should we vote for a satanic world government?,Strong Disagreement,1
813michaelsmith,Thank you for not being a CNN sheep Mr. Colton Haab.,Neutral,1
813michaelsmith,Thank you for not being a CNN sheep Mr. Colton Haab.,Strong Agreement,4
813michaelsmith,Thank you for not being a CNN sheep Mr. Colton Haab.,Weak Agreement,3
920rodeo,@AdamSchefter pretty easy when your coached.....,Neutral,2
920rodeo,@AdamSchefter pretty easy when your coached.....,Strong Agreement,2
920rodeo,@AdamSchefter pretty easy when your coached.....,Weak Agreement,2
920rodeo,@AdamSchefter pretty easy when your coached.....,Weak Disagreement,2
AALIVESMATTER,Every time I #retweet this when I see it #MAGA #sheep365 #HoggTied #HoggWash #DraintheSwamp #FakeNews #exploitation #ParklandShooting #BrowardCounty #NRA #PatriotsUnite #AmericaFirst #Trump @realDonaldTrump @POTUS #Pray4DJT,Strong Agreement,4
AALIVESMATTER,Every time I #retweet this when I see it #MAGA #sheep365 #HoggTied #HoggWash #DraintheSwamp #FakeNews #exploitation #ParklandShooting #BrowardCounty #NRA #PatriotsUnite #AmericaFirst #Trump @realDonaldTrump @POTUS #Pray4DJT,Strong Disagreement,1
AALIVESMATTER,Every time I #retweet this when I see it #MAGA #sheep365 #HoggTied #HoggWash #DraintheSwamp #FakeNews #exploitation #ParklandShooting #BrowardCounty #NRA #PatriotsUnite #AmericaFirst #Trump @realDonaldTrump @POTUS #Pray4DJT,Weak Agreement,3
AEMohr,"This is what #Humanity looks like. All colors, creeds, and ages come together to say #NeverAgain #EnoughIsEnough #AMarch4OurLives #VoteThemOut2018",Strong Agreement,4
AEMohr,"This is what #Humanity looks like. All colors, creeds, and ages come together to say #NeverAgain #EnoughIsEnough #AMarch4OurLives #VoteThemOut2018",Weak Agreement,1
