,tweet_id,user_id,screen_name,text,time,topic
0,9.6691E+17,18923609,TheTwoMajesties,"Don't mislead people. Haab wanted to make an intro speech with 3 followups, CNN said, one question only like everyone else. Haab's father pulled him out. The townhall featured plenty of proNRA people. Nobody was censored, quit screaming victim.",2/23/2018 5:36,cnn
1,9.66667E+17,7036002,ericgrant,"The White House did not allow anyone at their staged listening session to ask anything about the NRA.

This is who Trump censored.",2/22/2018 13:32,cnn
2,9.66577E+17,7.56303E+17,Jgigi8,Very proud of both of you My son and 2 adopted sons and their sister were in JROTC at North HS one of the most decorated in USA but you have something they do not Kevlar curtain. I will make sure that your ingenuity is known to JROTC students here in CA,2/22/2018 7:33,cnn
3,9.67268E+17,22155491,drewdmat,It turns out the fake news is coming from this kid’s dad.,2/24/2018 5:21,cnn
4,9.66874E+17,52612788,dreamsnpurple,"His dad removed him from the town hall. Not CNN. CNN asked for questions, not a speech. When they said no speech the kid got upset and dropped out. That's not a script. A script is here: ask this. That's not what happened here.",2/23/2018 3:13,cnn
5,9.66713E+17,534251504,MaartenWildeman,"Someone is lying on Twitter, again.
Looking at you, Mike.",2/22/2018 16:35,cnn
6,9.70159E+17,17626317,chadfelixg,His account appears to have been suspended.,3/4/2018 4:47,cnn
7,9.67098E+17,3322073049,IgiturOne,You’re full of crap. They helped him organize his thoughts so he could confront the Dem senator with his pro-gun question. Get the facts right.,2/23/2018 18:04,cnn
8,9.66564E+17,22211830,yellowredsparks,The one kid that had a different viewpoint. Makes sense,2/22/2018 6:45,cnn
9,9.66567E+17,52893083,DisabledUSN_Vet,Of course....he doesnt fit their agenda.,2/22/2018 6:54,cnn
10,9.66566E+17,9.62393E+17,DavidDMiller5,CNN = Communist News Network,2/22/2018 6:52,cnn
11,9.67376E+17,49960226,mdornic,Assuming you'll correct this now.,2/24/2018 12:28,cnn
12,9.67011E+17,27588123,IdeasAndBeliefs,Debunked,2/23/2018 12:19,cnn
13,9.66771E+17,8.13445E+17,DeplorableVic,Fake news..,2/22/2018 20:25,cnn
14,9.66656E+17,7.5494E+17,the_awk_christ,"If you all talk about how fake CNN is, then why care who they censor?",2/22/2018 12:47,cnn
15,9.67361E+17,33987489,BitchR,"No, Haab’s father pulled him from the town hall because CNN wouldn’t let him give a speech.",2/24/2018 11:29,cnn
16,9.67543E+17,319184957,schibes78,Looks like his daddy set up his son,2/24/2018 23:32,cnn
17,9.67361E+17,9.40805E+17,MegWell17,This tweet didn’t age well.,2/24/2018 11:29,cnn
18,9.6732E+17,18596960,lbent,@jack Didn't you ban this guy?,2/24/2018 8:46,cnn
19,9.66717E+17,66678663,LChidsey,I Boycott CNN,2/22/2018 16:51,cnn
20,9.66692E+17,8.7806E+17,FIT_PR0,"Lies. NOT how it went down. He's a right-wing pro-gun at all cost advocate and now being groomed by #foxnews to discredit @cnn 
CNN asked him to come back when it's not a town hall forum so he can discuss his ideas. There was a format for the show and he did not want to follow it",2/22/2018 15:11,cnn
21,9.66581E+17,3320545346,PennyHicks13,You see who else is pro-legally armed citizens.,2/22/2018 7:49,cnn
22,9.66567E+17,9.31107E+17,GraceHealz,Has anyone heard a student specifically say they saw Cruz shooting at them?,2/22/2018 6:56,cnn
