tweet_id,user_id,screen_name,content,time,FakeNews
9.67E+17,18923609,TheTwoMajesties,"Don't mislead people. Haab wanted to make an intro speech with 3 followups, CNN said, one question only like everyone else. Haab's father pulled him out. The townhall featured plenty of proNRA people. Nobody was censored, quit screaming victim.",2/23/2018 5:36,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,7036002,ericgrant,"The White House did not allow anyone at their staged listening session to ask anything about the NRA.

This is who Trump censored.",2/22/2018 13:32,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,7.56E+17,Jgigi8,Very proud of both of you My son and 2 adopted sons and their sister were in JROTC at North HS one of the most decorated in USA but you have something they do not Kevlar curtain. I will make sure that your ingenuity is known to JROTC students here in CA,2/22/2018 7:33,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,22155491,drewdmat,It turns out the fake news is coming from this kid’s dad.,2/24/2018 5:21,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,52612788,dreamsnpurple,"His dad removed him from the town hall. Not CNN. CNN asked for questions, not a speech. When they said no speech the kid got upset and dropped out. That's not a script. A script is here: ask this. That's not what happened here.",2/23/2018 3:13,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,534251504,MaartenWildeman,"Someone is lying on Twitter, again.
Looking at you, Mike.",2/22/2018 16:35,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.70E+17,17626317,chadfelixg,His account appears to have been suspended.,3/4/2018 4:47,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,3322073049,IgiturOne,You’re full of crap. They helped him organize his thoughts so he could confront the Dem senator with his pro-gun question. Get the facts right.,2/23/2018 18:04,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,22211830,yellowredsparks,The one kid that had a different viewpoint. Makes sense,2/22/2018 6:45,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,52893083,DisabledUSN_Vet,Of course....he doesnt fit their agenda.,2/22/2018 6:54,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,9.62E+17,DavidDMiller5,CNN = Communist News Network,2/22/2018 6:52,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,49960226,mdornic,Assuming you'll correct this now.,2/24/2018 12:28,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,27588123,IdeasAndBeliefs,Debunked,2/23/2018 12:19,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,8.13E+17,DeplorableVic,Fake news..,2/22/2018 20:25,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,7.55E+17,the_awk_christ,"If you all talk about how fake CNN is, then why care who they censor?",2/22/2018 12:47,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,33987489,BitchR,"No, Haab’s father pulled him from the town hall because CNN wouldn’t let him give a speech.",2/24/2018 11:29,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.68E+17,319184957,schibes78,Looks like his daddy set up his son,2/24/2018 23:32,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,9.41E+17,MegWell17,This tweet didn’t age well.,2/24/2018 11:29,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,18596960,lbent,@jack Didn't you ban this guy?,2/24/2018 8:46,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,66678663,LChidsey,I Boycott CNN,2/22/2018 16:51,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,8.78E+17,FIT_PR0,"Lies. NOT how it went down. He's a right-wing pro-gun at all cost advocate and now being groomed by #foxnews to discredit @cnn 
CNN asked him to come back when it's not a town hall forum so he can discuss his ideas. There was a format for the show and he did not want to follow it",2/22/2018 15:11,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,3320545346,PennyHicks13,You see who else is pro-legally armed citizens.,2/22/2018 7:49,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,9.31E+17,GraceHealz,Has anyone heard a student specifically say they saw Cruz shooting at them?,2/22/2018 6:56,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,187073252,Ionlytwatdrunk,"There should be a go fund me for this kid, he deserves something for being a brave young man and being on a path to be one of our nation's finest.",2/24/2018 1:30,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,2859894154,TheBikeAttorney,They just debunked this one too pizza clown.,2/24/2018 0:22,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,26055993,TammyMWebster,CNN only wants to spread their narrative. These JROTC members would be the ppl that CNN would look for if there was an active shooter. Can’t bounce bullets off of fake news!,2/23/2018 1:50,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,2923384511,jminton287,His dad pulled him. You are misinformed.,2/22/2018 22:39,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
