tweet_id,user_id,screen_name,text,time,Fake News
9.67E+17,35039490,MarkDice,This kid and another also armed themselves with a fire extinguisher and a two-by-four and planned on beating down the gunman if he came through the door to the classroom they were hiding in.  Some brave and smart kids.,2/22/2018 6:48,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,8.61E+17,OkmakeReady,FKN amazing!!  Thank God we still have kids with intelligence not just feelings!,2/22/2018 5:50,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,9.59E+17,Republikid1,"CNN is fake news, you heard it from this kid",2/22/2018 5:49,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,7.18E+17,Imaginer77,Nothing to see here folks just more satanic bs from the dark side,2/22/2018 6:08,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,874179554,JijiRotelli,"Not surprised...I would have liked to hear him, not a scripted #DavidHogg & company!! @CNN #FakeNewsMedia #StudentsStandUp",2/22/2018 6:49,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,22274439,Speedy62269,Again - HMMMM,2/22/2018 6:33,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,338425614,anthonyabatemar,@cnn Fake News,2/22/2018 5:54,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,285502242,ThePeanutFiends,People called me heartless for having the audacity to claim the kids interviewed by CNN seemed to be reading off a script.,2/22/2018 5:49,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,2796585116,RickMartlnez,This kid is hope for the future.,2/22/2018 6:27,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
9.67E+17,835918021,contrerasa20,@benshapiro MUST WATCH,2/22/2018 5:49,CNN did not let Colton Haab ask a question at tonight #StudentsStandUp because he was pro-gun rights. This is who CNN censored.
