screen_name,text,stance,count
009fromIL,"Exposed brings out a different expression under trump presidency, use that word sparingly",Weak Disagreement,3
04fat,Privileged Antifa?,Weak Agreement,4
0SweetSolace0,"The more silent voices of these teens is heard,ripping the media for thier arrogance and ripping the other suriviors about rabid gun control. I believe we'll be hearing more from them in the coming days. David and his outspoken friends Karma coming",Strong Agreement,3
100011crusader,@bchapman151 @RealMattCouch @TruthinGov2016 @realDonaldTrump @LisaMei62,Neutral,4
10th_Mt_Warrior,#CNNFakeNews,Weak Agreement,3
1206geauxtigers,"Research/critical think:
1) Is David Hogg a student a Stoneman Douglas High School?
2) Was he accounted as ""present"" the day of the shooting?
Answers to both questions = YES, which means #CrisisActors theory is insane.
Why go after kids who saw their friends die in front of them?",Strong Disagreement,7
1206geauxtigers,Those pesky facts. They always seem to make you fall on your face donât they mike? LMAO,Neutral,4
17erudolph,@jchambers1535,Neutral,4
1977Trump,Good job kid,Strong Agreement,3
1JaimeLee,#MarchForOurLives was an AMAZING&powerful day for many!..,Strong Agreement,5
1hardkernel,$$ talks that allowed BS TO TALK !!! Exploiting the EMOTIONAL MATURITY OF YOUNG ADULTS  !! Snakes in grass up to our   EYES ??  Lower for sure !!,Strong Agreement,4
1lucyhannah,So proud of this kid.,Strong Agreement,3
2blacksocks,#HoggWash,Strong Disagreement,3
76overdue,@justinbieber should we vote for a satanic world government?,Neutral,4
813michaelsmith,Thank you for not being a CNN sheep Mr. Colton Haab.,Strong Agreement,4
AALIVESMATTER,Every time I #retweet this when I see it #MAGA #sheep365 #HoggTied #HoggWash #DraintheSwamp #FakeNews #exploitation #ParklandShooting #BrowardCounty #NRA #PatriotsUnite #AmericaFirst #Trump @realDonaldTrump @POTUS #Pray4DJT,Strong Agreement,4
AEMohr,"This is what #Humanity looks like. All colors, creeds, and ages come together to say #NeverAgain #EnoughIsEnough #AMarch4OurLives #VoteThemOut2018",Strong Agreement,4
AFMom3,"I support the founders of MFOL. We marched for you in Rocklin, California. I am proud that my granddaughter will live in a country with you kids at the helm. Thank you",Strong Agreement,4
ALScribner2,"Jacob Wohl is dishonest, crooked, little traitor.",Strong Disagreement,3
Abraham31826476,Game over. Internet exposes all the bs now. These kids are now named for all eternity also.,Neutral,3
AdamMuller7,Oops... except his own father admits to altering those emails.  So CNN wasnât the one censoring!!  Keep up buddy!,Neutral,4
AgHarp51,"Ummm, around 850,000 folks.  You need to go back to math class.  Everything official I see says 200,000 or so.  With only about 10% being 18 or younger.",Strong Disagreement,3
Alchemy363,Now we do!,Weak Agreement,4
AlexHamUSA,He should have gone and asked his original question anyway.,Weak Agreement,4
AlexLondonUK,"Manipulation, spin & corruption is all they know.",Strong Agreement,3
AlexontheMic,"Ummm.... these were people working the event. Keyword: working. I was there. They were selling tee shirts, taking donations, and signing people up to register to vote. You tried, though.",Strong Disagreement,3
AliceRountry,He looks like James Comey,Neutral,4
AltFireAviation,"oh, you took a break from kissing Trumps ass I see",Strong Disagreement,3
AmericaUprise,This is why @CNN is going broke.,Weak Agreement,3
Amusedandhappy,No Violence at any of #March4OurLives protests!!! How many times have this many people gathered together for change without any notable headlines of violence?!,Strong Agreement,3
AmyG1Love,Such BS,Neutral,4
AndreaS37687,"VERY IMPORTANT VIDEO. Federal ""Drills"" on going at 911, Newtown, Texas, Fla., Las Vegas BEFORE the killings.  Pay attn to the details.  PAY ATTN
@tracybeanz @Thomas1774Paine @drawandstrike",Neutral,6
AndreaTheiss2,Again CNN takes a position with OBama years before and seizes the opportunity to push the agenda again. Keep the politics out. Concentrate on what actually works in a bigger picture.,Neutral,4
AngryDingo,"You don't think @Cnn would leave this up to amateurs, do you?",Strong Agreement,4
AnnaMariaMari10,Well this tweet didn't age well..,Neutral,7
AnneLeake3,They do not want our American people to know the truth.,Neutral,4
ArnoldofBmore,There is hope yet.,Weak Agreement,3
ArthurDanse,"THE KID DECLINED TO GO.
STOP SPREADING BULLSHIT.",Neutral,3
ArtieVandelay1,Yikes.,Neutral,3
Astro00711,You're still not getting my guns! I don't care who you are or what you try!!! Over my dead bloody body will you get my guns.. and you'll probably be dead too if you messed with me!!!,Neutral,4
Austinforkeep,I hope people arenât ignorant enough to believe these kids are actors!!  They probably planned the entire mass shooting...? Huh?  Stop being ignorant.  These kids are smart and shouldnât be bashed for doing what they feel is right.,Strong Disagreement,6
AwakeOhSL33per,Reported :),Weak Disagreement,4
Aztatude,Figured this was going on cause it is a CNN Town Hall. Surprised they didn't give the sheriff the questions ahead of time.,Weak Agreement,3
BBeca1234,"Wow, who paid them? Democrats and Hollywood liberal?",Neutral,3
BIG_George_NYC,"Mark, ALL of CNN's broadcasts are scripted. It is great seeing a young man come forward and actually say that HE was asked by CNN to ask scripted questions rather than his own questions. Thanks for sharing. Hey, when are you going to be in NYC? Coffee? #glrosario",Strong Agreement,4
BarryMcObaddley,@cnn using these poor kids. Just horrible.,Strong Agreement,4
BeachyPiers,67% of America would retire and there'd be an employment crisis if your fake narrative was true.  JesusHChrist you fools will believe anything.,Strong Disagreement,4
BennyBoom277,Wow,Neutral,5
Bernd_Heuser,"That never happened. The students he supposedly saved don't even exist. They're fake characters. Invented to distract. And Haab doesn't go to that school, he's a professional crisis actor for the NRA. How about that?",Neutral,4
BillHar64659704,Yep another video taken down by the powers that be! Why donât you mind your business and let me decide if itâs ok for me to watch! I assume that if itâs ok fake news msm to put on the 6:00 news it should be ok for twitter???? SMDH!,Neutral,5
Billy_Barrell,"Lie. Far less than 850,000. But keep trying. Youâre message is solid but your association is flawed. #2A will not go away. It is why we donât look like #Europe yet",Strong Disagreement,3
Bishopman69,"To everyone that is saying that he is traumatized and can't speak clearly. This ""kid"" made a video thast was supposedly during the shooting and he never messed up while speaking one time then.

Also, does the interviewer say ""just say, i can't put it in perspective.""?",Strong Agreement,4
BitchR,"No, Haabâs father pulled him from the town hall because CNN wouldnât let him give a speech.",Neutral,4
BloodSpear528,"Just gonna put this out there. The only thing gun control is going to do is take away the only thing people use to defend themselves, 99% of school shootings are with illegal firearms. Gun control won't stop those people",Weak Disagreement,4
BlueEyesBlondee,Thanks for providing this. Who would have though....we did.,Neutral,3
BoberFett,"I'm shocked, SHOCKED I TELL YOU, that CNN would do such a thing.",Strong Agreement,4
BonBee81,This is it clean house at @FBI enough is enough @realDonaldTrump,Strong Agreement,3
BottomFeederMus,so you are that petty to think this kid who survived this wouldnt feel this way?,Strong Disagreement,3
BourgaizeGail,WOW this whole thing just keeps getting creepier by the day.,Strong Agreement,3
BrandiSmile1,#whoisdavidhogg,Neutral,3
BrentWagner,Nut job conspiracy theorist,Strong Disagreement,4
Brinksknowsbett,"He just want to show some love to his dumpers, and is ok, but always following that with real facts. No making something important is a personal matter.",Weak Disagreement,4
Brinksknowsbett,"I will said prove it, show the paper with the script, period.",Strong Disagreement,3
Brooklynmom1,Sorros for sure,Weak Agreement,3
Brycebe57479283,No big surprise there #FakeNewsCNN a one sided scripted town hall @realDonaldTrump the real town hall in the White House,Strong Agreement,3
BuckCityPig,He looks like he might even be trying out for a new anchor position. He kid get this right or your finished in the fake news industry,Strong Agreement,7
C3rvantes,"Time out of school, no homework, be on tv... punkmuthafukkas",Neutral,3
CHearSpeakNEvil,"Interesting that Hogg references his friend was in the bathroom where the ""hallway shooter"" was, not Cruz or shooter but ""hallway shooter"" 3 students have said more than one shooter, now Hogg terminology implies that also!",Weak Agreement,4
CMontyBurnsIII,"If anyone knows about fraudulent online posts, it's Jacob.",Weak Disagreement,3
CORredbank,He was the only pro-gun rights advocate in the audience?,Neutral,4
CS70,Any updates on the Colton Haab story?,Neutral,4
CTrot35,850k?? I don't think so.,Weak Disagreement,3
CampKayio,"I totally got waaaaayyyy ore than $300, Veterans can get anywhere from $20,000 to $200,000 for showing up in uniform.. I only had to do about 3 marches before I became independently wealthy....",Strong Agreement,3
Canadas_Awesome,"Shape the narrative.

In CNNs case it's also called shape the bullshit.",Strong Agreement,4
Canadiancovfefe,Wow!!!  Not the slightest bit credible.,Strong Agreement,4
CaptKevinB,It's called child abuse. Serious emotional injury.,Strong Agreement,3
CarlaCube,"Did you ever pay that fine you owed related to your ""investment"" firm.",Neutral,3
Cat_5_Cane,"Consider who else would be on Craigslit asking for names, pics and phone numbers...especially if the ad would draw kid/teens.",Weak Agreement,3
CateM5550,Agreed...,Weak Agreement,4
CatyKean,He better be careful because some CNN whack job may show up at his house with cameras rolling to harass him like they did to that woman.,Strong Agreement,4
CesquireCowen,The left can just be called The Censorship Party.,Strong Agreement,3
Chainsman,"When @WMATA reports 500,000 trips on Metrorail, it translates to 250,000 people.  How did the other 500,000+ people get into town?
I fully support you but don't lie about your attendance like @realDonaldTrump did.",Weak Disagreement,6
Charliebravillo,This is girl's was presents love u america,Weak Agreement,3
CheryleWharton,"@JacobAWohl appreciate you bringing this to my attention.  Please ask Soros to send me a check.  A friend and I went to a March but missed the check,  I am sure the 200 other people with us also missed their checks.",Strong Disagreement,3
ChrisAGilbert,Bull fucking shit. Because not just anyone can take out a Craigslist ad. You probably did that yourself. You're a fucking garbage heap.,Strong Disagreement,5
ChristinaC40,This kid was a little too calm,Weak Agreement,4
Chuck_Morgan3,Holy Shit!! @JacobAWohl is a super sleuth!! Nothing gets by this guy!! From a failed hedge fund manager to secret agent man in one presidential term.,Strong Disagreement,3
CindyKayHogan1,I got suspended for sharing his practice flubbed video. I canât believe I would see the Orwellian 1984 censorship in my lifetime.,Strong Agreement,4
CitizenChump,There is video of this kid floating around twitter that appears to show him being coached off camera for his spontaneous interview of TV. Real Wag the Dog stuff!,Strong Agreement,3
CodyGilbert3,FBI screwed up. Kid is trying to deflect from FBI's multiple lapses.,Strong Agreement,4
Col42239925Hope,You have to be kidding. Politics/Soros taking advantage of a disaster at a school. This is about the lowest that anyone could stoop. Just makes my stomach flip,Strong Agreement,3
CommonGOPvoter,I KNEW IT WAS STAGED!,Strong Agreement,4
ComradCovfefe45,I donât have to go to Craigslist anymore! I signed up for Sorosâ direct payments through PayPal!,Weak Disagreement,4
Couch_Potato17,Never let a good crisis go to waste per the Rahmfather,Strong Agreement,3
CrDavid19,"I don't know about this one, there are too may edits and cuts for my liking.  While I think he's a wee fraud, this video isn't ""right"".  Pity we can't get the raw, uncut version.",Weak Agreement,6
CraigCr97665875,Open proof of Demented Democrat CORRUPTS DIRTYâS OUT RIGHT ATTACKING AMERICA! I believe all good Americans have come to the point of revolution taking up our right to bear arms to protect American Constitution and Bill of Rights! Demented Democrats Enemy!,Strong Agreement,8
CraigForreste12,@Shmosephine,Neutral,4
CreoleCoudrain,The real crisis actor is colton haab?,Neutral,5
Crutnacker,"Man, your head is going to explode when you see whoâs backing gun nuts.",Neutral,3
CubsRSpiritual,Does this really shock anyone ? The Liberal media actually wants to script an event & control its participants with its own propaganda? #Liberals #CNNTownHall #ParklandStudentsSpeak #GunControlNow,Strong Agreement,3
CuttleBoogie,Everyone saying fake news...did you forget what Trump said about his inaugural crowd?,Neutral,3
CynthiaMcGrath6,"There s hope yet. This critical & logical thinker who can stand on his own two feet, will go far. Go JrROTC!",Strong Agreement,3
DBHnBuckhead2,"CNN is a total Dumpster Fire...
#CNNStalkers #CNNDoxing",Strong Agreement,4
DD733,"To sell T-shirts, Zippy",Neutral,3
DFusit,@CNN this is your go to child right?,Strong Agreement,3
DRADAIV,@davidhogg111 how much you were paid?,Strong Agreement,4
DTNCA,It all came together just a little too quickly and the presence of professional organizing is obvious hardly spontaneous grassroots movement,Strong Agreement,5
DallasDrilling,Interesting that he's the only one who says he was forced to do this. When you get 6 more kids saying the same thing....call me.,Neutral,5
DavidDMiller5,CNN = Communist News Network,Neutral,5
DawnPisturino,Kids aren't smart enough to do this on their own.,Weak Agreement,4
Dcdave11,"Its a lie, fake news prove it, have him on your show, he was invited on CNN to discuss it. Sorry you flunked the ratings last night get used to it.",Strong Disagreement,3
Debleespecial,I've saved it everywhere. It's in good hands. He says he doesn't care... CNN seems to.,Strong Agreement,3
Deblovscats,ummmm......NOT! LOL,Strong Disagreement,3
Deborahw37,"I do indeed know what to do and I just did it, reported you for targetted harassment because there is not a category for ""Terrible excuse for a human being""",Neutral,3
DebraFulton19,I'm glad he's speaking out..will it mean anything?,Weak Agreement,5
DeepEddy23,Clearing this up:,Neutral,3
DefaultNu,"Nothing screams patriot then letting his dad write him a speech, then getting mad his son couldn't read it at the event because they wanted student questions, not one kid hogging up the screen for half an hour reading dad's speech.",Neutral,4
DemiWuflower,Agree...,Weak Agreement,4
Dennis_Falsetti,"@jack @Twitter @TwitterSupport This is exactly the type of damaging, destructive spread of misinformation that inspires violent acts and will only hasten the demise of Social Media.
Please, please...please help us out here.",Strong Disagreement,5
DeplorableBUM,@CNN Disgusting Leftwing Media,Neutral,4
DeplorableBUM,"More like 202000, stop the Leftwing false narrative!",Strong Disagreement,4
DeplorableVic,Fake news..,Neutral,5
Deplorable_JJ,"Was actually 200k but hey!  You lie about the issue anyway so why not lie about the size!  #ChildrenKillingChildren is the problem. Guns have been around for years, children didnât murder when I was young - what changed?",Strong Disagreement,4
DeplorityReport,Here's his buddy---another fraud.,Strong Agreement,5
DerekC2016,More censorship!!!,Strong Agreement,3
