,tweet_id,user_id,screen_name,text,time,topic
0,9.77932E+17,7.4032E+17,anderfinn,"Never been more heartbroken or inspired. Yesterday, we marched. Now, we #VoteThemOut. Thank you for leading.",3/25/2018 15:33,march
1,9.77959E+17,8.96521E+17,Alchemy363,Now we do!,3/25/2018 17:21,march
2,9.78275E+17,583526180,goodthoughts65,Did you see my sister’s quilt in the march? #MarchForOurLives #MarchForOurLives sign,3/26/2018 14:18,march
3,9.78208E+17,2183268581,ID10Talert,"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",3/26/2018 9:53,march
4,9.78304E+17,23706604,TheKatWill,My son and I were there from Ohio! #EnoughIsEnough,3/26/2018 16:15,march
5,9.78083E+17,3419534985,Meow4Panthers,"We marched from Bo Diddley Plaza, Gainesville, Florida! Thank you so much to the Speakers & the Students & the people of all ages who came out to march in support of #MarchForOurLives",3/26/2018 1:36,march
6,9.78464E+17,46300326,clvergrl74,Still marching in Wi!!!! #50milesmore,3/27/2018 2:50,march
7,9.78251E+17,8.64869E+17,Amusedandhappy,No Violence at any of #March4OurLives protests!!! How many times have this many people gathered together for change without any notable headlines of violence?!,3/26/2018 12:43,march
8,9.78234E+17,537697152,allen_dailey,,3/26/2018 11:35,march
9,9.78151E+17,216457818,EffFirst,,3/26/2018 6:07,march
10,9.78123E+17,532749122,sean61987,"Virginia-based Digital Design & Imaging Service Inc., which uses aerial photos to calculate crowd sizes, reported the event’s peak crowd size was at 202,796 people around 1 p.m., CBS News reported. The firm said the number's margin of error is 15 percent.",3/26/2018 4:15,march
11,9.78111E+17,9.5923E+17,KellyRowan12,Fake news. About 210k people.,3/26/2018 3:26,march
12,9.78719E+17,8.54763E+17,BloodSpear528,"Just gonna put this out there. The only thing gun control is going to do is take away the only thing people use to defend themselves, 99% of school shootings are with illegal firearms. Gun control won't stop those people",3/27/2018 19:43,march
13,9.78421E+17,818434316,hnterziggy,"Thank you for having us, proud to be apart of history. #NeverAgain #VoteThemOut",3/27/2018 0:00,march
14,9.78292E+17,750587130,rositagb1958,Don't stop! Don't ever give up!,3/26/2018 15:25,march
15,9.78274E+17,8.3915E+17,pinkban76914449,"That's just DC!

AND 

MILLIONS MORE

Across the country!",3/26/2018 14:15,march
16,9.78148E+17,480684437,TrFargo,An imaging company just announced that your estimate is 4 times the number of people that actually showed up. Nice try!,3/26/2018 5:54,march
17,9.78117E+17,1558436612,TrumpsWirl,Hahaha 850k? A joke? Yup!,3/26/2018 3:52,march
18,9.78102E+17,2430963199,The13th_Ghost,Nope......,3/26/2018 2:50,march
19,9.78101E+17,2798597559,sandee51960,"I showed up in Boca Raton, FL",3/26/2018 2:48,march
20,9.78055E+17,9.66114E+17,NRABoycott,Do you have an estimate for the total everywhere?,3/25/2018 23:44,march
21,9.77994E+17,22547450,prezedu,"So true that ""I was one of them"" #StudentsPower",3/25/2018 19:43,march
22,9.77994E+17,26023931,ej4,We marched in Richmond,3/25/2018 19:41,march
23,9.77934E+17,2470661234,kavanaghwillia1,Ha ha PLANK try fiddle those FACTS ! Far more people in dc for this march than what was there for ur gawd awful inauguration ,3/25/2018 15:42,march
24,9.78115E+17,259103435,bRedRep,is the truth. Leftist protest and cry. Conservatives vote and work their asses off.,3/26/2018 3:40,march
25,9.78713E+17,9.73233E+17,JohnMey86222636,"You meant 200,000, right?",3/27/2018 19:18,march
