tweet_id,user_id,screen_name,text,time,Fake News
9.78E+17,7.40E+17,anderfinn,"Never been more heartbroken or inspired. Yesterday, we marched. Now, we #VoteThemOut. Thank you for leading.",3/25/2018 15:33,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,8.97E+17,Alchemy363,Now we do!,3/25/2018 17:21,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,583526180,goodthoughts65,Did you see my sister’s quilt in the march? #MarchForOurLives #MarchForOurLives sign,3/26/2018 14:18,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,2183268581,ID10Talert,"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",3/26/2018 9:53,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,23706604,TheKatWill,My son and I were there from Ohio! #EnoughIsEnough,3/26/2018 16:15,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,3419534985,Meow4Panthers,"We marched from Bo Diddley Plaza, Gainesville, Florida! Thank you so much to the Speakers & the Students & the people of all ages who came out to march in support of #MarchForOurLives",3/26/2018 1:36,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,46300326,clvergrl74,Still marching in Wi!!!! #50milesmore,3/27/2018 2:50,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,8.65E+17,Amusedandhappy,No Violence at any of #March4OurLives protests!!! How many times have this many people gathered together for change without any notable headlines of violence?!,3/26/2018 12:43,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,532749122,sean61987,"Virginia-based Digital Design & Imaging Service Inc., which uses aerial photos to calculate crowd sizes, reported the event’s peak crowd size was at 202,796 people around 1 p.m., CBS News reported. The firm said the number's margin of error is 15 percent.",3/26/2018 4:15,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
9.78E+17,9.59E+17,KellyRowan12,Fake news. About 210k people.,3/26/2018 3:26,"You showed up! More than 850,000 marched with us in DC yesterday. Together, we are so powerful. Together, we will #ThrowThemOut"
