"text","n","stance"
"",18,"Neutral"
"#cnn is a propaganda machine. Not a news organization!",3,"Strong Agreement"
"#CNNFakeNews #CNNisPropaganda",3,"Strong Agreement"
"#CNNFakeNews",3,"Weak Agreement"
"#DavidHogg is a fraud",5,"Strong Agreement"
"#done",4,"Neutral"
"#FakeCNN working feverishly to turn USA into Venezuela!  It’s actually hilarious at this point.  WE NEED MORE GUNS! God bless our 2nd amendment",3,"Strong Agreement"
"#FAKENEWS",3,"Strong Disagreement"
"#FakeNews",4,"Weak Disagreement"
"#FreeSpeechDay 
Q in the sky?  Love it!  You are a hoot. Oh and quit playing with your hair, makes me crazy  
#MAGA #StopTheChemtrails",4,"Neutral"
"#Hogg #Hoggwash #gunsense #GunsSaveLives 
Paid activist.
The Agenda? 
Give up your guns so you can't defend yourself.",3,"Strong Agreement"
"#HoggWash",3,"Strong Disagreement"
"#MarchForOurLives #neveragain",4,"Strong Agreement"
"#MarchForOurLives was an AMAZING&powerful day for many!..",5,"Strong Agreement"
"#ParklandStudentsSpeak not for all apparently. @cnn now picking on the elderly and kidos that won't have a hand pushing their #FakeNews narrative...",3,"Strong Agreement"
"#PropagandaTool",3,"Weak Agreement"
"#Retweet",3,"Neutral"
"#TheGreatAwakening !

#ObamaGate #Treason #PayToPlay #SecretSociety #FakeDossiers #FBI 
#CIA #FakeNews #Mockingbird #MKUltra #Orion #BigPharma #WilliamCooper #BeholdAPaleHorse #ParklandSchoolShooting #187 …

#InternetBillOfRights #NRA 
#WeThePeople #MAGA #TheStorm #QAnon",3,"Strong Agreement"
"#ThrowThemOut",6,"Weak Agreement"
"#VoteThemOut",3,"Strong Agreement"
"#whoisdavidhogg",3,"Neutral"
"@1986stallone @benshapiro @redsteeze here it is, scripted. CNN made this a partisan rally cry for gun control.",4,"Strong Agreement"
"@bchapman151 @RealMattCouch @TruthinGov2016 @realDonaldTrump @LisaMei62",4,"Neutral"
"@chucktodd @JoeNBC @SavannahGuthrie @GStephanopoulos @Lawrence @donlemon ( whore promoter) @brianstelter @AC360 @JohnKingCNN @wolfblitzer @Acosta @HARRISFAULKNER @trish_regan",3,"Neutral"
"@CiglianoPam Read and Retweet! @realDonaldTrump  #ExposeCNN Disdain42ndAmend #FireFBIDirector God Bless  My President",3,"Strong Agreement"
"@CNN “We don’t deliver the news, we craft the News” This guys need to be called out for this to its core!! This goes so much deeper! @realDonaldTrump",3,"Strong Agreement"
"@CNN bias and scripted? Well colour me shocked!",3,"Strong Agreement"
"@cnn Fake News",3,"Strong Agreement"
"@CNN is #FakeNews",3,"Strong Agreement"
"@CNN is at it again, no surprises! #CNNisPropaganda #CNNisFakeNews #CNNCredibilityCrisis #CNNTownHall",4,"Strong Agreement"
"@CNN is exploiting the students in unspeakable ways... it disgusts me!",4,"Strong Agreement"
"@CNN sucks",3,"Neutral"
"@cnn using these poor kids. Just horrible.",4,"Strong Agreement"
"@IngrahamAngle @marklevinshow @SebGorka @seanhannity @LouDobbs @mitchellvii @Liz_Wheeler @foxandfriends @BreitbartNews @mitchellvii @dbongino @JackPosobiec @DLoesch",4,"Neutral"
"@jack @Twitter @TwitterSupport This is exactly the type of damaging, destructive spread of misinformation that inspires violent acts and will only hasten the demise of Social Media.
Please, please...please help us out here.",3,"Strong Disagreement"
"@jack Didn't you ban this guy?",4,"Neutral"
"@JackAgainski @PGHowie2 @Toastmmaster @firemanjohn628",4,"Neutral"
"@JacobAWohl appreciate you bringing this to my attention.  Please ask Soros to send me a check.  A friend and I went to a March but missed the check,  I am sure the 200 other people with us also missed their checks.",3,"Strong Disagreement"
"@JacobWohl HAHAHAHA just like trump, you have zero comprehendion skills. HAHAHA",3,"Strong Disagreement"
"@jchambers1535",4,"Neutral"
"@justinbieber should we vote for a satanic world government?",4,"Neutral"
"@marcorubio",3,"Neutral"
"@NickFromJersey",5,"Neutral"
"@poorman and another... and FBI agents son.... confused .....",4,"Neutral"
"@RealDonaldTrump@SeanHannity@LauraIngraham read",3,"Neutral"
"@seanhannity",3,"Neutral"
"@Shmosephine",4,"Neutral"
