tweet_id,user_id,screen_name,text,time,Fake News
9.78E+17,8.06E+17,poconomtn,If only all the money shelled out for these stupid protests over the past year were used to actually help people or solve something we’d be heading in the right direction,3/25/2018 18:31,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,2546258378,MikeStuchbery_,"Merchandise, you clown.",3/26/2018 12:05,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,263062626,boomer78910,"*Vets took oath to defend Constitution; not a party or person.
*Anti-constitutionalists exploit what they can to end USA and constitution.
*2A exists because of/to protect from, Govt’s abuse. 2A guarantees 1A!  
*Europe = catastrophe so don’t preach to U.S. from your pigsty.",3/25/2018 9:54,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,460629863,tluvgolf,I see Soros  in these payments - he supports all events against our Constitution.,3/25/2018 16:02,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,2330839911,VenicePaulie,You are as sharp as jello,3/25/2018 18:21,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.32E+17,SuzyQtrue,"#Patriots! We need your help to undo the censorship rampant on the webs!
Surprise!  It looks like someone is messing with the petition numbers!
#InternetBillOfRights Sign, confirm, check spam, cookies 

https://petitions.whitehouse.gov/petition/internet-bill-rights-2 … …  
#QAnon  #Fakenews = FAKE   TY @POTUS 4 ur work!",3/26/2018 3:28,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.41E+17,LRM_Nick,"Adding @JacobAWohl to my list of Twitter users creating fake news... there we go. You are on the list, sir.",3/25/2018 19:05,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.21E+17,MissTrinia01,Nice try...,3/25/2018 0:12,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,2713427480,adjunctprofessr,Awesome job! ,3/25/2018 17:57,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.61E+17,moreenie31,Amen to that!,3/25/2018 22:06,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.02E+17,jonella_moore,#SmellsLikeSoros,3/25/2018 20:54,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,2913678013,thewoman62,Follow the $ & it will lead to Obama's #MoveOn Hillary Clinton's #OnwardTogether funded by George Soros just as #BlackLivesMatter & #Anitfa that will get in on the act this summer during campaign season.,3/26/2018 8:55,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,2793020203,danahaviland,"CAUGHT RED HANDED! @JacobAWohl has zero reading comprehension! Does not know the difference between ""protestor"" and ""salesperson""!",3/25/2018 14:50,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,193589482,ScarletRoseRed,"The minute you heard there was a DC March, you knew Soros Cash was flowing and Van Jones is on the job, etc etc etc....",3/26/2018 6:11,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1589378725,CarlaCube,"Did you ever pay that fine you owed related to your ""investment"" firm.",3/25/2018 14:06,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.81E+17,7.07E+17,UrsulaRodgers11,"They did that for the Antifa protests, paid them and bussed them to their protests. Soros and Deep State working hard to get power back and big government in charge. They can stop we all know what’s going on. The power stays with us",4/2/2018 6:09,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1436183521,Chuck_Morgan3,Holy Shit!! @JacobAWohl is a super sleuth!! Nothing gets by this guy!! From a failed hedge fund manager to secret agent man in one presidential term.,3/25/2018 13:51,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,14194035,jersey2bronx,"Congratulations.  You found the t-shirt vendors.  Hey, I want to see the Yankees home opener - can you point me towards the paid crisis actors who will be scalping tickets on game day?",3/25/2018 21:30,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,49948615,pearlgirlonmaui,Wtf seriously you are an idiot,3/26/2018 13:04,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.23E+17,S83865267Monica,I am not surprised.,3/25/2018 17:11,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.21E+17,SandraLeePayne1,Where were these people during Obama Pres.!!!????,3/26/2018 15:34,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.14E+17,1hardkernel,$$ talks that allowed BS TO TALK !!! Exploiting the EMOTIONAL MATURITY OF YOUNG ADULTS  !! Snakes in grass up to our   EYES ??  Lower for sure !!,3/25/2018 18:48,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,226545575,DeusExMacarena,CAUGHT RED HANDED! JACOB WOHL WITH HIS HEAD UP HIS ASS!,3/25/2018 2:45,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,21334006,AlexontheMic,"Ummm.... these were people working the event. Keyword: working. I was there. They were selling tee shirts, taking donations, and signing people up to register to vote. You tried, though.",3/25/2018 15:09,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.32E+17,imnottayediggs,So in addition to not knowing American history you have a reading comprehension problem as well?,3/25/2018 14:39,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.81E+17,laxix43,Love this!  So much for spontaneity!,3/26/2018 12:15,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,57937913,CheryleWharton,"@JacobAWohl appreciate you bringing this to my attention.  Please ask Soros to send me a check.  A friend and I went to a March but missed the check,  I am sure the 200 other people with us also missed their checks.",3/28/2018 1:38,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.76E+17,grams_terry,Youre a con man too.,3/26/2018 13:18,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,57113074,harplover,Yeah they do this every protest! I used to have a pic of 1 of the ads,3/26/2018 4:08,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,495021290,Sheilas11,Great find!!! ,3/25/2018 15:29,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.00E+17,unclescorpie,"Once again, caught red-handed",3/26/2018 20:40,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.02E+17,RobinPa77,@chucktodd @JoeNBC @SavannahGuthrie @GStephanopoulos @Lawrence @donlemon ( whore promoter) @brianstelter @AC360 @JohnKingCNN @wolfblitzer @Acosta @HARRISFAULKNER @trish_regan,3/26/2018 0:56,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,397488806,angelstarfl7,Thanks for sharing that truth needs to come out!,3/25/2018 13:50,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,412728468,brittshow,You’re a moron.,3/26/2018 2:49,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,539453078,TCribby,That explains why many at tge event were so clueless about that they were there for. Define assault weapons...Ahhhhhhh,3/26/2018 11:51,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,3324009111,sherrypool48,"Interesting they can be bought, $$$ that’s what it is all about.",3/25/2018 19:18,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,239205857,Dennis_Falsetti,"@jack @Twitter @TwitterSupport This is exactly the type of damaging, destructive spread of misinformation that inspires violent acts and will only hasten the demise of Social Media.
Please, please...please help us out here.",3/25/2018 14:15,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
